GameDate,HomeTeam,AwayTeam,HomeScore,AwayScore
11/03/2025,Florida International,-2146826246,101.0,49.0
11/24/2025,Florida International,James Madison,72.0,80.0
01/28/2026,Florida International,Jacksonville State,74.0,78.0
12/03/2025,Florida International,Florida Gulf Coast,89.0,83.0
01/17/2026,Florida International,Sam Houston State,63.0,76.0
11/04/2025,Florida State,Alcorn State,108.0,76.0
11/07/2025,Florida State,Alabama State,101.0,64.0
12/22/2025,Florida State,Jacksonville,87.0,63.0
01/03/2026,Florida State,Duke,87.0,91.0
12/19/2025,Florida State,Mississippi Valley State,96.0,49.0
12/02/2025,Florida State,Georgia,73.0,107.0
12/13/2025,Florida State,Massachusetts,95.0,103.0
11/28/2025,Florida State,Texas A&M,59.0,95.0
01/10/2026,Florida State,NC State,69.0,113.0
11/21/2025,Florida State,Georgia Southern,98.0,72.0
01/17/2026,Florida State,Wake Forest,68.0,69.0
11/25/2025,Florida State,Cal State Bakersfield,89.0,59.0
11/18/2025,Florida State,Tennessee-Martin,87.0,73.0
01/31/2026,Florida State,Stanford,88.0,80.0
01/28/2026,Florida State,California,63.0,61.0
12/10/2025,Fordham,Fairleigh Dickinson,75.0,54.0
02/07/2026,Fordham,St. Bonaventure,67.0,70.0
11/04/2025,Fordham,NJIT,61.0,72.0
01/17/2026,Fordham,Duquesne,63.0,74.0
11/11/2025,Fordham,Wagner,63.0,61.0
11/28/2025,Fordham,-2146826246,74.0,72.0
11/07/2025,Fordham,-2146826246,106.0,37.0
02/03/2026,Fordham,VCU,59.0,63.0
01/07/2026,Fordham,George Mason,58.0,67.0
11/20/2025,Fordham,LIU,69.0,53.0
12/06/2025,Fordham,Holy Cross,69.0,70.0
01/28/2026,Fordham,La Salle,64.0,58.0
12/13/2025,Fordham,Manhattan,82.0,53.0
12/22/2025,Fordham,New Haven,65.0,47.0
11/16/2025,Fordham,-2146826246,96.0,62.0
01/04/2026,Fordham,Richmond,75.0,83.0
11/29/2025,Fordham,Albany,88.0,68.0
02/03/2026,Fresno State,UNLV,98.0,96.0
01/24/2026,Fresno State,Grand Canyon,57.0,68.0
11/26/2025,Fresno State,Pepperdine,76.0,53.0
12/30/2025,Fresno State,Utah State,63.0,72.0
11/12/2025,Fresno State,UC San Diego,73.0,78.0
11/15/2025,Fresno State,Utah Valley,75.0,74.0
11/30/2025,Fresno State,Cal State Bakersfield,71.0,76.0
11/03/2025,Fresno State,-2146826246,88.0,51.0
11/08/2025,Fresno State,Long Beach State,82.0,62.0
11/05/2025,Fresno State,USC Upstate,66.0,67.0
01/03/2026,Fresno State,Nevada,65.0,66.0
01/13/2026,Fresno State,Colorado State,79.0,69.0
01/17/2026,Fresno State,Wyoming,63.0,60.0
11/21/2025,Fresno State,New Orleans,85.0,76.0
11/18/2025,Fresno State,Stephen F. Austin,80.0,78.0
12/09/2025,Furman,-2146826246,105.0,57.0
11/23/2025,Furman,Queens University,90.0,79.0
11/19/2025,Furman,-2146826246,79.0,44.0
12/21/2025,Furman,Charleston Southern,84.0,76.0
12/06/2025,Furman,Harvard,79.0,69.0
01/17/2026,Furman,Wofford,70.0,74.0
01/03/2026,Furman,Western Carolina,77.0,80.0
12/31/2025,Furman,Mercer,74.0,72.0
01/29/2026,Furman,Samford,78.0,73.0
02/01/2026,Furman,Chattanooga,75.0,70.0
11/10/2025,Furman,-2146826246,89.0,59.0
02/08/2026,Furman,UNC Greensboro,0.0,0.0
01/10/2026,Furman,VMI,69.0,48.0
11/27/2025,Furman,Richmond,73.0,72.0
11/07/2025,Furman,Troy,61.0,64.0
01/17/2026,Gardner-Webb,Presbyterian,55.0,92.0
12/12/2025,Gardner-Webb,-2146826246,77.0,63.0
12/15/2025,Gardner-Webb,Wofford,57.0,83.0
12/18/2025,Gardner-Webb,-2146826246,105.0,65.0
01/14/2026,Gardner-Webb,Radford,80.0,89.0
11/26/2025,Gardner-Webb,Navy,51.0,84.0
12/06/2025,Gardner-Webb,Georgia Southern,84.0,88.0
11/10/2025,Gardner-Webb,-2146826246,81.0,92.0
11/28/2025,Gardner-Webb,Southeastern Louisiana,68.0,76.0
01/23/2026,Gardner-Webb,USC Upstate,67.0,65.0
12/31/2025,Gardner-Webb,Charleston Southern,79.0,89.0
02/04/2026,Gardner-Webb,Longwood,66.0,86.0
12/21/2025,George Mason,Loyola (MD),86.0,79.0
12/02/2025,George Mason,Cornell,99.0,81.0
11/07/2025,George Mason,Winthrop,96.0,90.0
11/29/2025,George Mason,James Madison,82.0,66.0
11/11/2025,George Mason,-2146826246,86.0,62.0
11/03/2025,George Mason,Wofford,70.0,46.0
11/15/2025,George Mason,New Hampshire,61.0,44.0
12/13/2025,George Mason,Old Dominion,73.0,61.0
11/18/2025,George Mason,Jacksonville,79.0,57.0
01/19/2026,George Mason,George Washington,69.0,64.0
02/04/2026,George Mason,Duquesne,65.0,71.0
12/28/2025,George Mason,Pennsylvania,83.0,79.0
01/03/2026,George Mason,Rhode Island,61.0,50.0
01/10/2026,George Mason,VCU,86.0,80.0
02/07/2026,George Mason,Saint Joseph's,60.0,52.0
01/28/2026,George Mason,Davidson,60.0,52.0
01/03/2026,George Washington,La Salle,77.0,55.0
01/10/2026,George Washington,Loyola (IL),101.0,66.0
01/24/2026,George Washington,Richmond,85.0,69.0
12/10/2025,George Washington,Delaware,58.0,70.0
12/06/2025,George Washington,William & Mary,99.0,86.0
11/25/2025,George Washington,Murray State,95.0,96.0
11/19/2025,George Washington,UMBC,89.0,52.0
11/15/2025,George Washington,Old Dominion,96.0,73.0
11/12/2025,George Washington,American,107.0,67.0
11/08/2025,George Washington,South Florida,99.0,95.0
11/03/2025,George Washington,Maine,67.0,47.0
01/31/2026,George Washington,Fordham,65.0,79.0
12/22/2025,George Washington,-2146826246,97.0,40.0
01/14/2026,George Washington,Davidson,79.0,84.0
11/23/2025,George Washington,McNeese,86.0,92.0
01/17/2026,Georgetown,UConn,62.0,64.0
02/07/2026,Georgetown,Villanova,73.0,80.0
01/10/2026,Georgetown,Seton Hall,67.0,76.0
12/31/2025,Georgetown,St. John's,83.0,95.0
11/22/2025,Georgetown,Wagner,92.0,75.0
02/04/2026,Georgetown,Creighton,76.0,68.0
01/28/2026,Georgetown,DePaul,70.0,61.0
12/03/2025,Georgetown,UMBC,90.0,81.0
11/28/2025,Georgetown,Miami (FL),65.0,78.0
12/13/2025,Georgetown,Saint Peter's,76.0,68.0
11/15/2025,Georgetown,Clemson,79.0,74.0
12/22/2025,Georgetown,Coppin State,97.0,67.0
11/12/2025,Georgetown,Binghamton,83.0,70.0
11/03/2025,Georgetown,Morgan State,87.0,70.0
12/20/2025,Georgetown,Xavier,77.0,80.0
12/29/2025,Georgia,LIU,89.0,74.0
01/03/2026,Georgia,Auburn,104.0,100.0
11/17/2025,Georgia,Florida A&M,87.0,57.0
11/05/2025,Georgia,Maryland-Eastern Shore,94.0,29.0
11/09/2025,Georgia,Morehead State,120.0,81.0
11/29/2025,Georgia,Tennessee Tech,123.0,81.0
01/17/2026,Georgia,Arkansas,90.0,76.0
12/13/2025,Georgia,Cincinnati,84.0,65.0
01/28/2026,Georgia,Tennessee,85.0,86.0
11/23/2025,Georgia,Clemson,94.0,97.0
11/14/2025,Georgia,Georgia Tech,92.0,87.0
01/14/2026,Georgia,Ole Miss,95.0,97.0
01/31/2026,Georgia,Texas A&M,77.0,92.0
12/18/2025,Georgia,Western Carolina,112.0,82.0
12/22/2025,Georgia,West Georgia,103.0,74.0
11/03/2025,Georgia,Bellarmine,104.0,59.0
11/29/2025,Georgia Southern,Houston Christian,80.0,62.0
01/24/2026,Georgia Southern,Troy,78.0,83.0
11/14/2025,Georgia Southern,-2146826246,98.0,79.0
12/03/2025,Georgia Southern,Louisiana Tech,77.0,69.0
12/18/2025,Georgia Southern,Georgia State,90.0,67.0
01/22/2026,Georgia Southern,Arkansas State,68.0,85.0
11/08/2025,Georgia Southern,UNC Asheville,93.0,90.0
02/04/2026,Georgia Southern,Texas State,71.0,77.0
01/17/2026,Georgia Southern,Coastal Carolina,75.0,79.0
12/20/2025,Georgia Southern,James Madison,96.0,92.0
01/15/2026,Georgia Southern,Old Dominion,87.0,84.0
12/11/2025,Georgia Southern,-2146826246,100.0,58.0
11/25/2025,Georgia Southern,UTSA,64.0,77.0
01/08/2026,Georgia State,Appalachian State,50.0,52.0
11/25/2025,Georgia State,Samford,63.0,78.0
11/10/2025,Georgia State,Presbyterian,61.0,63.0
11/13/2025,Georgia State,-2146826246,90.0,56.0
01/24/2026,Georgia State,Arkansas State,82.0,81.0
01/22/2026,Georgia State,Southern Miss,69.0,62.0
02/04/2026,Georgia State,Troy,63.0,74.0
01/10/2026,Georgia State,Marshall,81.0,73.0
12/28/2025,Georgia State,-2146826246,110.0,72.0
12/13/2025,Georgia State,Jacksonville State,77.0,73.0
02/07/2026,Georgia State,Northern Illinois,74.0,75.0
11/03/2025,Georgia Tech,Maryland-Eastern Shore,56.0,52.0
12/06/2025,Georgia Tech,Monmouth,79.0,67.0
12/03/2025,Georgia Tech,Mississippi St.,73.0,85.0
01/03/2026,Georgia Tech,Boston College,65.0,53.0
12/28/2025,Georgia Tech,Florida A&M,89.0,65.0
01/31/2026,Georgia Tech,North Carolina,75.0,91.0
11/23/2025,Georgia Tech,West Georgia,82.0,66.0
01/14/2026,Georgia Tech,Pittsburgh,66.0,89.0
12/20/2025,Georgia Tech,Lafayette,95.0,81.0
11/10/2025,Georgia Tech,Southeastern Louisiana,70.0,60.0
01/24/2026,Georgia Tech,Clemson,63.0,77.0
01/06/2026,Georgia Tech,Syracuse,72.0,82.0
12/16/2025,Georgia Tech,Marist,87.0,76.0
11/18/2025,Georgia Tech,Georgia Southern,68.0,66.0
11/07/2025,Georgia Tech,Bryant,74.0,45.0
11/25/2025,Gonzaga,Maryland,100.0,61.0
11/03/2025,Gonzaga,Texas Southern,98.0,43.0
11/08/2025,Gonzaga,Oklahoma,83.0,68.0
12/17/2025,Gonzaga,Campbell,98.0,70.0
01/04/2026,Gonzaga,Loyola Marymount,82.0,47.0
01/21/2026,Gonzaga,Pepperdine,84.0,60.0
01/31/2026,Gonzaga,Saint Mary's,73.0,65.0
01/24/2026,Gonzaga,San Francisco,68.0,66.0
12/13/2025,Gonzaga,UCLA,82.0,72.0
11/11/2025,Gonzaga,Creighton,90.0,63.0
11/17/2025,Gonzaga,Southern Utah,122.0,50.0
01/08/2026,Gonzaga,Santa Clara,89.0,77.0
12/07/2025,Gonzaga,North Florida,109.0,58.0
01/02/2026,Gonzaga,Seattle,80.0,72.0
02/07/2026,Grambling State,Alabama State,57.0,47.0
11/13/2025,Grambling State,Southern Miss,75.0,70.0
02/04/2026,Grambling State,Arkansas-Pine Bluff,64.0,67.0
01/17/2026,Grambling State,Southern,53.0,71.0
01/05/2026,Grambling State,Texas Southern,84.0,67.0
12/30/2025,Grambling State,-2146826246,90.0,58.0
12/18/2025,Grambling State,Norfolk State,80.0,68.0
01/03/2026,Grambling State,Prairie View A&M,76.0,72.0
11/03/2025,Grambling State,-2146826246,91.0,47.0
02/03/2026,Grand Canyon,Air Force,81.0,57.0
11/10/2025,Grand Canyon,Northern Illinois,88.0,59.0
11/21/2025,Grand Canyon,Northwestern State,85.0,72.0
12/13/2025,Grand Canyon,Coastal Carolina,82.0,61.0
12/22/2025,Grand Canyon,IU Indy,91.0,78.0
01/10/2026,Grand Canyon,San Jose State,76.0,58.0
01/21/2026,Grand Canyon,San Diego State,70.0,69.0
11/25/2025,Grand Canyon,Utah,68.0,58.0
01/30/2026,Grand Canyon,Boise State,86.0,69.0
12/02/2025,Grand Canyon,Stetson,67.0,45.0
11/03/2025,Grand Canyon,Fort Wayne,90.0,71.0
11/26/2025,Grand Canyon,Iowa,46.0,59.0
12/06/2025,Grand Canyon,Oklahoma State,78.0,84.0
11/07/2025,Grand Canyon,Youngstown State,81.0,90.0
01/17/2026,Grand Canyon,Utah State,84.0,74.0
01/03/2026,Grand Canyon,Colorado State,60.0,70.0
12/17/2025,Green Bay,UC Santa Barbara,67.0,64.0
01/05/2026,Green Bay,Milwaukee,79.0,76.0
02/01/2026,Green Bay,Wright State,75.0,83.0
01/11/2026,Green Bay,Northern Kentucky,80.0,78.0
02/07/2026,Green Bay,Detroit-Mercy,76.0,63.0
01/09/2026,Green Bay,IU Indy,75.0,59.0
12/04/2025,Green Bay,Robert Morris,78.0,80.0
01/18/2026,Green Bay,Oakland,63.0,88.0
01/30/2026,Green Bay,Cleveland State,82.0,89.0
11/29/2025,Green Bay,-2146826246,95.0,55.0
11/10/2025,Green Bay,-2146826246,83.0,63.0
02/07/2026,Hampton,William & Mary,77.0,74.0
11/16/2025,Hampton,Holy Cross,61.0,67.0
12/31/2025,Hampton,Towson,63.0,62.0
12/29/2025,Hampton,Stony Brook,62.0,59.0
02/05/2026,Hampton,Elon,87.0,79.0
12/19/2025,Hampton,Grambling State,72.0,81.0
01/24/2026,Hampton,UNC Wilmington,67.0,75.0
01/22/2026,Hampton,Monmouth,65.0,63.0
11/06/2025,Hampton,-2146826246,103.0,43.0
01/19/2026,Hampton,North Carolina A&T,82.0,61.0
12/01/2025,Hampton,-2146826246,94.0,58.0
12/03/2025,Hampton,Loyola (MD),93.0,71.0
11/07/2025,Harvard,-2146826246,79.0,50.0
01/24/2026,Harvard,Cornell,79.0,86.0
01/17/2026,Harvard,Princeton,87.0,80.0
01/05/2026,Harvard,Dartmouth,68.0,76.0
11/09/2025,Harvard,New Hampshire,86.0,75.0
01/19/2026,Harvard,Pennsylvania,64.0,63.0
11/11/2025,Harvard,Northeastern,60.0,77.0
12/20/2025,Harvard,Holy Cross,81.0,53.0
11/29/2025,Harvard,Bryant,56.0,53.0
11/20/2025,Hawaii,Arizona State,76.0,83.0
11/12/2025,Hawaii,Mississippi Valley State,88.0,56.0
01/24/2026,Hawaii,Cal State Northridge,89.0,68.0
01/22/2026,Hawaii,Cal State Bakersfield,98.0,71.0
12/13/2025,Hawaii,UTEP,66.0,61.0
01/10/2026,Hawaii,UC Irvine,67.0,66.0
11/24/2025,Hawaii,-2146826246,88.0,76.0
12/10/2025,Hawaii,-2146826246,98.0,46.0
11/14/2025,Hawaii,Manhattan,86.0,56.0
11/10/2025,Hawaii,East Texas A&M,100.0,74.0
12/06/2025,Hawaii,Cal State Fullerton,69.0,59.0
12/04/2025,Hawaii,UC Davis,75.0,69.0
02/07/2026,Hawaii,UC San Diego,72.0,67.0
11/15/2025,Hawaii,Utah Tech,68.0,62.0
11/28/2025,Hawaii,North Dakota,92.0,55.0
11/22/2025,High Point,Incarnate Word,91.0,80.0
12/22/2025,High Point,Bryant,93.0,47.0
11/29/2025,High Point,Western Carolina,93.0,73.0
01/03/2026,High Point,Longwood,80.0,67.0
01/07/2026,High Point,Gardner-Webb,104.0,49.0
11/03/2025,High Point,Furman,97.0,71.0
01/29/2026,High Point,Presbyterian,84.0,81.0
12/05/2025,High Point,NJIT,89.0,72.0
11/11/2025,High Point,Jacksonville,85.0,64.0
12/28/2025,High Point,-2146826246,123.0,64.0
12/16/2025,High Point,-2146826246,129.0,47.0
02/04/2026,High Point,Charleston Southern,80.0,55.0
12/19/2025,High Point,La Salle,84.0,72.0
02/07/2026,High Point,Radford,86.0,77.0
12/03/2025,High Point,Southern Illinois,84.0,86.0
11/08/2025,High Point,-2146826246,127.0,52.0
01/17/2026,High Point,USC Upstate,89.0,69.0
11/17/2025,High Point,Canisius,93.0,50.0
01/29/2026,Hofstra,Charleston,64.0,66.0
11/10/2025,Hofstra,-2146826246,95.0,61.0
12/10/2025,Hofstra,-2146826246,92.0,23.0
01/17/2026,Hofstra,Elon,85.0,89.0
01/10/2026,Hofstra,Monmouth,67.0,64.0
11/29/2025,Hofstra,Merrimack,78.0,58.0
02/05/2026,Hofstra,Northeastern,80.0,63.0
02/07/2026,Hofstra,Towson,71.0,49.0
12/29/2025,Hofstra,Campbell,86.0,72.0
12/21/2025,Hofstra,Quinnipiac,74.0,66.0
02/02/2026,Holy Cross,Boston University,64.0,72.0
01/03/2026,Holy Cross,Navy,58.0,65.0
01/14/2026,Holy Cross,Army,82.0,75.0
01/24/2026,Holy Cross,American,67.0,76.0
02/07/2026,Holy Cross,Lehigh,76.0,67.0
12/31/2025,Holy Cross,Bucknell,65.0,58.0
11/26/2025,Holy Cross,-2146826246,77.0,53.0
11/24/2025,Holy Cross,Siena,69.0,73.0
12/16/2025,Holy Cross,Dartmouth,64.0,89.0
12/09/2025,Holy Cross,-2146826246,69.0,47.0
12/03/2025,Holy Cross,Northeastern,76.0,59.0
12/15/2025,Houston Christian,McNeese,68.0,78.0
01/27/2026,Houston Christian,Incarnate Word,81.0,75.0
12/13/2025,Houston Christian,Southeastern Louisiana,71.0,74.0
01/17/2026,Houston Christian,East Texas A&M,81.0,70.0
01/19/2026,Houston Christian,Northwestern State,82.0,80.0
01/24/2026,Houston Christian,UT Rio Grande Valley,51.0,68.0
11/03/2025,Houston Christian,-2146826246,74.0,70.0
01/05/2026,Houston Christian,Texas A&M-CC,65.0,81.0
11/20/2025,Houston Christian,-2146826246,85.0,67.0
11/13/2025,Houston Christian,Louisiana-Monroe,72.0,61.0
12/29/2025,Houston,Middle Tennessee,69.0,60.0
11/03/2025,Houston,Lehigh,75.0,57.0
11/08/2025,Houston,Towson,65.0,48.0
11/12/2025,Houston,Oakland,78.0,45.0
11/25/2025,Houston,Tennessee,73.0,76.0
12/06/2025,Houston,Florida State,82.0,67.0
12/10/2025,Houston,Jackson State,80.0,38.0
11/26/2025,Houston,Notre Dame,66.0,56.0
11/24/2025,Houston,Syracuse,78.0,74.0
01/06/2026,Houston,Texas Tech,69.0,65.0
12/13/2025,Houston,New Orleans,99.0,57.0
01/18/2026,Houston,Arizona State,103.0,73.0
01/31/2026,Houston,Cincinnati,76.0,54.0
02/04/2026,Houston,UCF,79.0,55.0
11/20/2025,Houston,Rider,91.0,45.0
01/13/2026,Houston,West Virginia,77.0,48.0
11/03/2025,Howard,Missouri,67.0,88.0
02/07/2026,Howard,South Carolina State,85.0,57.0
11/06/2025,Howard,-2146826246,103.0,71.0
11/26/2025,Howard,-2146826246,115.0,61.0
12/06/2025,Howard,-2146826246,85.0,69.0
11/22/2025,Howard,Niagara,80.0,70.0
01/12/2026,Howard,Delaware State,84.0,58.0
01/24/2026,Howard,Morgan State,77.0,78.0
01/31/2026,Howard,Norfolk State,88.0,60.0
12/13/2025,Howard,Hampton,61.0,57.0
01/19/2026,Howard,-2146826246,78.0,69.0
11/09/2025,Howard,Grambling State,70.0,73.0
11/13/2025,Howard,Alcorn State,72.0,64.0
12/09/2025,Howard,North Carolina A&T,73.0,69.0
01/15/2026,IU Indy,Robert Morris,96.0,93.0
11/11/2025,IU Indy,-2146826246,121.0,77.0
01/25/2026,IU Indy,Fort Wayne,0.0,0.0
12/11/2025,IU Indy,Green Bay,75.0,85.0
12/06/2025,IU Indy,Youngstown State,55.0,78.0
02/07/2026,IU Indy,Cleveland State,82.0,74.0
11/29/2025,IU Indy,Morehead State,85.0,80.0
12/16/2025,IU Indy,-2146826246,126.0,73.0
01/17/2026,IU Indy,Detroit-Mercy,77.0,80.0
11/06/2025,IU Indy,LIU,90.0,94.0
01/04/2026,IU Indy,Wright State,77.0,81.0
02/07/2026,Idaho State,Northern Colorado,61.0,69.0
12/21/2025,Idaho State,UC Davis,83.0,93.0
01/01/2026,Idaho State,Sacramento State,97.0,84.0
11/04/2025,Idaho State,-2146826246,81.0,71.0
12/06/2025,Idaho State,Denver,93.0,79.0
11/26/2025,Idaho State,Sam Houston State,81.0,84.0
12/18/2025,Idaho State,-2146826246,80.0,64.0
11/21/2025,Idaho State,-2146826246,89.0,51.0
01/03/2026,Idaho State,Portland State,87.0,93.0
02/05/2026,Idaho State,Northern Arizona,73.0,79.0
01/17/2026,Idaho State,Eastern Washington,66.0,84.0
01/15/2026,Idaho State,Idaho,76.0,68.0
11/28/2025,Idaho State,Cal State Northridge,82.0,50.0
11/22/2025,Idaho,-2146826246,97.0,68.0
01/24/2026,Idaho,Portland State,66.0,69.0
11/28/2025,Idaho,Sam Houston State,68.0,94.0
01/22/2026,Idaho,Sacramento State,86.0,76.0
12/14/2025,Idaho,-2146826246,109.0,55.0
12/03/2025,Idaho,North Dakota,90.0,58.0
01/10/2026,Idaho,Montana State,92.0,89.0
01/08/2026,Idaho,Montana,73.0,79.0
11/07/2025,Idaho,-2146826246,94.0,49.0
01/03/2026,Idaho,Eastern Washington,84.0,81.0
01/17/2026,Illinois,Minnesota,77.0,67.0
12/22/2025,Illinois,Missouri,91.0,48.0
11/19/2025,Illinois,Alabama,86.0,90.0
01/29/2026,Illinois,Washington,75.0,66.0
11/03/2025,Illinois,Jackson State,113.0,55.0
02/04/2026,Illinois,Northwestern,84.0,44.0
01/21/2026,Illinois,Maryland,89.0,70.0
01/08/2026,Illinois,Rutgers,81.0,55.0
11/07/2025,Illinois,Florida Gulf Coast,113.0,70.0
11/11/2025,Illinois,Texas Tech,81.0,77.0
11/14/2025,Illinois,Colgate,84.0,65.0
12/13/2025,Illinois,Nebraska,80.0,83.0
11/22/2025,Illinois,LIU,98.0,58.0
12/29/2025,Illinois,Southern,90.0,55.0
11/24/2025,Illinois,UT Rio Grande Valley,87.0,73.0
02/06/2026,Illinois State,Drake,86.0,76.0
12/06/2025,Illinois State,Chicago State,95.0,53.0
02/03/2026,Illinois State,Southern Illinois,50.0,54.0
11/28/2025,Illinois State,Furman,72.0,65.0
12/03/2025,Illinois State,Eastern Kentucky,89.0,78.0
01/21/2026,Illinois State,Northern Iowa,59.0,54.0
11/09/2025,Illinois State,Cornell,76.0,65.0
11/27/2025,Illinois State,Charlotte,79.0,69.0
11/20/2025,Illinois State,-2146826246,93.0,48.0
01/10/2026,Illinois State,Illinois-Chicago,59.0,63.0
01/17/2026,Illinois State,Bradley,88.0,62.0
01/01/2026,Illinois State,Evansville,73.0,47.0
12/21/2025,Illinois State,Indiana State,85.0,65.0
11/23/2025,Illinois State,Coastal Carolina,94.0,42.0
01/17/2026,Incarnate Word,Northwestern State,76.0,74.0
01/31/2026,Incarnate Word,UT Rio Grande Valley,93.0,106.0
11/11/2025,Incarnate Word,-2146826246,109.0,70.0
11/07/2025,Incarnate Word,-2146826246,104.0,60.0
12/01/2025,Incarnate Word,McNeese,71.0,67.0
01/24/2026,Incarnate Word,Texas A&M-CC,71.0,79.0
01/03/2026,Incarnate Word,Houston Christian,73.0,56.0
11/26/2025,Incarnate Word,-2146826246,117.0,55.0
01/19/2026,Incarnate Word,East Texas A&M,58.0,80.0
12/21/2025,Incarnate Word,Northern Arizona,90.0,66.0
11/20/2025,Incarnate Word,Southern Indiana,87.0,81.0
12/30/2025,Incarnate Word,Southeastern Louisiana,79.0,70.0
11/25/2025,Indiana,Kansas State,86.0,69.0
02/07/2026,Indiana,Wisconsin,78.0,77.0
11/16/2025,Indiana,Incarnate Word,69.0,61.0
11/05/2025,Indiana,Alabama A&M,98.0,51.0
12/22/2025,Indiana,Siena,81.0,60.0
01/10/2026,Indiana,Nebraska,77.0,83.0
01/17/2026,Indiana,Iowa,57.0,74.0
12/20/2025,Indiana,Chicago State,78.0,58.0
11/12/2025,Indiana,Milwaukee,101.0,70.0
01/04/2026,Indiana,Washington,90.0,80.0
11/20/2025,Indiana,Lindenwood,73.0,53.0
01/27/2026,Indiana,Purdue,72.0,67.0
11/29/2025,Indiana,Bethune-Cookman,100.0,56.0
12/09/2025,Indiana,Penn State,113.0,72.0
12/18/2025,Indiana State,Bradley,99.0,108.0
01/14/2026,Indiana State,Illinois State,94.0,89.0
11/22/2025,Indiana State,Ball State,70.0,52.0
12/02/2025,Indiana State,-2146826246,99.0,57.0
01/10/2026,Indiana State,Evansville,69.0,72.0
11/06/2025,Indiana State,-2146826246,104.0,73.0
11/19/2025,Indiana State,Louisiana Tech,60.0,51.0
12/07/2025,Indiana State,Southern Indiana,77.0,55.0
12/29/2025,Indiana State,Belmont,81.0,80.0
01/24/2026,Indiana State,Drake,62.0,76.0
01/31/2026,Indiana State,Valparaiso,72.0,76.0
01/09/2026,Iona,Niagara,71.0,53.0
01/24/2026,Iona,Manhattan,66.0,57.0
12/05/2025,Iona,Quinnipiac,68.0,89.0
01/02/2026,Iona,Siena,75.0,72.0
01/11/2026,Iona,Canisius,74.0,48.0
11/18/2025,Iona,Princeton,89.0,69.0
02/07/2026,Iona,Mount St. Mary's,76.0,83.0
01/22/2026,Iona,Merrimack,61.0,60.0
11/07/2025,Iona,Hofstra,81.0,73.0
12/10/2025,Iona,Bryant,69.0,63.0
11/24/2025,Iona,Green Bay,75.0,80.0
01/30/2026,Iona,Fairfield,70.0,71.0
11/14/2025,Iona,Fordham,76.0,71.0
01/20/2026,Iowa,Rutgers,68.0,62.0
11/20/2025,Iowa,Chicago State,93.0,54.0
12/06/2025,Iowa,Maryland,83.0,64.0
01/11/2026,Iowa,Illinois,69.0,75.0
11/25/2025,Iowa,Ole Miss,74.0,69.0
12/14/2025,Iowa,Western Michigan,91.0,51.0
11/14/2025,Iowa,Xavier,81.0,62.0
11/18/2025,Iowa,Southeast Missouri,99.0,70.0
12/29/2025,Iowa,UMass Lowell,90.0,62.0
11/07/2025,Iowa,Western Illinois,77.0,58.0
12/20/2025,Iowa,Bucknell,94.0,39.0
01/03/2026,Iowa,UCLA,74.0,61.0
01/28/2026,Iowa,USC,73.0,72.0
11/04/2025,Iowa,Robert Morris,101.0,69.0
02/08/2026,Iowa,Northwestern,0.0,0.0
01/20/2026,Iowa State,UCF,87.0,57.0
01/10/2026,Iowa State,Oklahoma State,83.0,71.0
01/02/2026,Iowa State,West Virginia,80.0,59.0
11/06/2025,Iowa State,Grambling State,102.0,62.0
11/10/2025,Iowa State,Mississippi St.,96.0,80.0
11/25/2025,Iowa State,Creighton,78.0,60.0
12/03/2025,Iowa State,Alcorn State,132.0,68.0
12/11/2025,Iowa State,Iowa,66.0,62.0
12/14/2025,Iowa State,Eastern Illinois,78.0,53.0
12/21/2025,Iowa State,Long Beach State,91.0,60.0
12/29/2025,Iowa State,Houston Christian,89.0,61.0
11/26/2025,Iowa State,Syracuse,95.0,64.0
11/03/2025,Iowa State,Fairleigh Dickinson,88.0,50.0
01/29/2026,Iowa State,Colorado,97.0,67.0
11/17/2025,Iowa State,Stonehill,96.0,57.0
02/07/2026,Iowa State,Baylor,72.0,69.0
01/17/2026,Jackson State,Prairie View A&M,82.0,78.0
12/19/2025,Jackson State,Norfolk State,72.0,82.0
01/19/2026,Jackson State,Texas Southern,94.0,89.0
02/02/2026,Jackson State,Southern,91.0,96.0
11/23/2025,Jackson State,Winthrop,62.0,80.0
01/31/2026,Jackson State,Grambling State,66.0,69.0
01/03/2026,Jackson State,Alcorn State,89.0,86.0
12/18/2025,Jackson State,Hampton,77.0,84.0
01/22/2026,Jacksonville,Bellarmine,70.0,77.0
01/31/2026,Jacksonville,Florida Gulf Coast,49.0,68.0
01/29/2026,Jacksonville,Lipscomb,70.0,65.0
11/25/2025,Jacksonville,Pacific,53.0,68.0
01/24/2026,Jacksonville,Eastern Kentucky,81.0,76.0
12/02/2025,Jacksonville,Florida A&M,85.0,82.0
11/06/2025,Jacksonville,-2146826246,132.0,45.0
01/10/2026,Jacksonville,West Georgia,75.0,43.0
01/08/2026,Jacksonville,Queens University,51.0,77.0
12/11/2025,Jacksonville,-2146826246,122.0,49.0
12/17/2025,Jacksonville State,Eastern Kentucky,59.0,62.0
12/07/2025,Jacksonville State,-2146826246,66.0,39.0
11/26/2025,Jacksonville State,North Dakota State,43.0,56.0
01/14/2026,Jacksonville State,Sam Houston State,62.0,77.0
11/19/2025,Jacksonville State,South Alabama,65.0,71.0
11/14/2025,Jacksonville State,Coastal Carolina,74.0,67.0
