Division,Team,BBMI_Rank,BBMI_Score,Record,Q_Wins,HCA,Best_Win_Rank,RAW_Points_Scored,RAW_Points_Against,RAW_Point_Difference,RAW_Field_Goal_Percentage,RAW_Three_Point_Percentage,RAW_Effective_Field_Goal_Percentage,RAW_Free_Throw_Percentage,RAW_Offensive_Rebounds_Per_Game,RAW_Defensive_Rebounds_Per_Game,RAW_Rebounds_Per_Game,RAW_Assists_Per_Game,RAW_Steals_Per_Game,RAW_Blocks_Per_Game,RAW_Charges_Taken_Per_Game,RAW_Turnovers_Per_Game,RAW_Q_Wins,RANK_Points_Scored,RANK_Points_Against,RANK_Point_Difference,RANK_Field_Goal_Percentage,RANK_Three_Point_Percentage,RANK_Effective_Field_Goal_Percentage,RANK_Free_Throw_Percentage,RANK_Offensive_Rebounds_Per_Game,RANK_Defensive_Rebounds_Per_Game,RANK_Rebounds_Per_Game,RANK_Assists_Per_Game,RANK_Steals_Per_Game,RANK_Blocks_Per_Game,RANK_Charges_Taken_Per_Game,RANK_Turnovers_Per_Game,RANK_Q_Wins,WTRANK_Points_Scored,WTRANK_Points_Against,WTRANK_Point_Difference,WTRANK_Field_Goal_Percentage,WTRANK_Three_Point_Percentage,WTRANK_Effective_Field_Goal_Percentage,WTRANK_Free_Throw_Percentage,WTRANK_Offensive_Rebounds_Per_Game,WTRANK_Defensive_Rebounds_Per_Game,WTRANK_Rebounds_Per_Game,WTRANK_Assists_Per_Game,WTRANK_Steals_Per_Game,WTRANK_Blocks_Per_Game,WTRANK_Charges_Taken_Per_Game,WTRANK_Turnovers_Per_Game,WTRANK_Q_Wins,WTRANK_TOTAL
5,Three Lakes,40,30.6871,16-10,-8.94,-2.487,34,66.5,57.5,9.0,0.416,0.31,0.466,0.622,12.0,21.8,33.8,15.4,11.5,1.9,0.0,12.6937,-8.94,37.444,27.034,33.068,28.425,30.97,28.618,32.331,29.897,26.285,27.92,33.206,33.684,23.286,1.0,32.368,30.805,0.0,2.9468,4.7619,1.2223,0.9601,0.1431,0.0,0.0,0.0,1.8985,0.3985,1.4484,0.1164,0.0,3.2368,13.5544,30.6872
5,New Auburn,41,30.0516,15-10,-11.56,-1.434,48,70.5,57.4,13.1,0.444,0.279,0.493,0.605,9.3,18.7,28.0,15.4,8.3,1.8,0.0,12.9,-11.56,41.889,27.138,35.575,33.219,25.187,33.059,29.135,22.0,21.033,21.609,33.206,25.263,21.571,1.0,31.882,30.332,0.0,2.958,5.1227,1.4284,0.7808,0.1653,0.0,0.0,0.0,1.4694,0.3985,1.0863,0.1079,0.0,3.1882,13.346,30.0515
5,Suring,42,29.9424,13-10,-2.02,-0.195,53,59.7,55.4,4.3,0.369,0.278,0.41,0.565,13.7,28.1,41.8,13.9,7.4,2.2,0.0,14.7,-2.02,29.889,29.207,30.196,18.887,25.0,18.91,22.639,34.278,33.645,35.219,30.344,22.474,26.852,1.0,27.647,32.056,0.0,3.1836,4.3482,0.8121,0.775,0.0946,0.0,0.0,0.0,2.3949,0.3641,0.9664,0.1343,0.0,2.7647,14.1047,29.9426
5,Fall River,43,29.9286,13-13,-9.24,-1.317,26,59.5,58.6,0.9,0.445,0.31,0.49,0.649,17.8,40.2,58.0,12.8,4.7,4.0,0.0,16.1,-9.24,29.667,25.876,28.117,33.39,30.97,32.566,37.406,44.845,47.78,50.0,28.244,13.947,43.519,1.0,24.138,30.751,0.0,2.8204,4.0489,1.4358,0.9601,0.1628,0.0,0.0,0.0,3.4,0.3389,0.5997,0.2176,0.0,2.4138,13.5305,29.9285
5,Solon Springs,44,29.9007,12-13,-12.66,-1.316,34,55.2,51.5,3.7,0.4177,0.3026,0.4727,0.5923,10.3667,22.9333,31.9053,11.9158,8.1158,2.0368,0.0,13.1353,-12.66,24.891,33.241,29.829,28.716,29.59,29.72,26.748,25.687,27.609,26.191,26.557,24.734,25.341,1.0,31.329,30.133,0.0,3.6233,4.2954,1.2348,0.9173,0.1486,0.0,0.0,0.0,1.781,0.3187,1.0636,0.1267,0.0,3.1329,13.2585,29.9008
5,Newman Catholic,45,29.8936,11-16,4.52,-1.414,30,55.3,57.6,-2.3,0.407,0.293,0.452,0.632,8.8,19.0,27.8,9.6,7.9,1.2,0.0,11.0,4.52,25.0,26.931,26.161,26.884,27.799,26.316,34.211,20.125,21.628,21.348,19.93,24.053,11.286,1.0,36.353,33.238,0.0,2.9355,3.7672,1.156,0.8618,0.1316,0.0,0.0,0.0,1.4517,0.2392,1.0343,0.0564,0.0,3.6353,14.6248,29.8938
5,Lourdes Academy,46,29.1705,13-13,-11.7,-2.233,27,61.7,57.8,3.9,0.44,0.287,0.483,0.618,11.7,21.8,33.5,14.6,8.5,1.9,0.0,14.8,-11.7,32.111,26.724,29.951,32.534,26.679,31.414,31.579,29.124,26.285,27.646,31.679,25.789,23.286,1.0,27.412,30.307,0.0,2.9129,4.313,1.399,0.8271,0.1571,0.0,0.0,0.0,1.8799,0.3802,1.1089,0.1164,0.0,2.7412,13.3349,29.1706
5,Johnson Creek,47,28.9073,16-11,-14.92,-1.689,13,66.1,60.0,6.1,0.425,0.307,0.488,0.602,11.4,24.4,35.8,12.4,8.0,2.7,0.0,14.8,-14.92,37.0,24.134,31.296,29.966,30.41,32.237,28.571,28.351,29.322,29.745,27.481,24.368,31.481,1.0,27.412,29.725,0.0,2.6306,4.5066,1.2885,0.9427,0.1612,0.0,0.0,0.0,2.0226,0.3298,1.0478,0.1574,0.0,2.7412,13.0788,28.9072
5,Faith Christian,48,28.8168,13-12,-27.6,-1.363,53,61.2,54.6,6.7,0.4196,0.3068,0.4764,0.5988,10.4591,22.0238,31.7864,13.1045,8.6955,1.9909,0.0,12.865,-27.6,31.556,30.034,31.663,29.041,30.373,30.329,27.97,25.926,26.546,26.082,28.825,26.304,24.844,1.0,31.965,27.433,0.0,3.2738,4.5594,1.2488,0.9416,0.1516,0.0,0.0,0.0,1.7736,0.3459,1.1311,0.1242,0.0,3.1965,12.0704,28.8169
5,Palmyra-Eagle,49,28.3349,12-14,-41.74,-2.953,26,55.3,48.9,6.4,0.376,0.322,0.457,0.647,8.9,21.2,30.1,15.6,9.1,3.3,0.0,11.6,-41.74,25.0,35.931,31.479,20.472,33.209,27.138,37.03,20.5,25.584,24.348,33.588,27.368,37.037,1.0,34.941,24.83,0.0,3.9165,4.533,0.8803,1.0295,0.1357,0.0,0.0,0.0,1.6557,0.4031,1.1768,0.1852,0.0,3.4941,10.9252,28.3351
