Team,Division,Region,WIAASeed,BBMISeed,Seed,slug,RegionalSemis,RegionalChampion,SectionalSemiFinalist,SectionalFinalist,StateQualifier,StateFinalist,StateChampion
Turtle Lake,5,1A,1,11,1,turtle-lake,1.0,1.0,0.68,0.33,0.15,0.05,0.04
Drummond,5,1A,2,18,2,drummond,1.0,1.0,0.72,0.45,0.13,0.04,0.02
Webster,5,1A,3,13,3,webster,1.0,1.0,0.28,0.2,0.06,0.03,0.01
Washburn,5,1A,4,23,4,washburn,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Frederic,5,1A,5,36,5,frederic,1.0,1.0,0.32,0.02,0.0,0.0,0.0
New Auburn,5,1A,6,42,6,new-auburn,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce,5,1A,7,64,7,bruce,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Solon Springs,5,1A,8,53,8,solon-springs,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Loyal,5,1B,1,30,1,loyal,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Columbus Catholic,5,1B,2,17,2,columbus-catholic,1.0,1.0,0.65,0.53,0.33,0.15,0.07
Prentice,5,1B,3,2,3,prentice,1.0,1.0,0.35,0.31,0.23,0.12,0.08
Mellen,5,1B,4,15,4,mellen,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rib Lake,5,1B,5,7,5,rib-lake,1.0,1.0,0.84,0.14,0.09,0.02,0.02
Flambeau,5,1B,6,34,6,flambeau,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Athens,5,1B,7,25,7,athens,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Owen-Withee,5,1B,8,32,8,owen-withee,1.0,1.0,0.16,0.02,0.01,0.0,0.0
Tigerton,5,2A,1,9,1,tigerton,1.0,1.0,0.78,0.45,0.16,0.11,0.08
Wabeno/Laona,5,2A,2,21,2,wabeno-laona,1.0,1.0,0.81,0.42,0.12,0.05,0.03
Three Lakes,5,2A,3,44,3,three-lakes,1.0,1.0,0.19,0.08,0.01,0.0,0.0
Pacelli,5,2A,4,75,4,pacelli,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Newman Catholic,5,2A,5,46,5,newman-catholic,1.0,1.0,0.22,0.05,0.01,0.0,0.0
Rosholt,5,2A,6,56,6,rosholt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
