Team,Division,Region,WIAASeed,BBMISeed,Seed,slug,RegionalSemis,RegionalChampion,SectionalSemiFinalist,SectionalFinalist,StateQualifier,StateFinalist,StateChampion
Sun Prairie West,1,3,14,35,14,sun-prairie-west,1.0,0.07333333333333333,0.032,0.004,0.0,0.0,0.0
Madison East,1,3,15,50,15,madison-east,1.0,0.022,0.005333333333333333,0.0006666666666666666,0.0,0.0,0.0
Westosha Central,1,3,16,64,16,westosha-central,1.0,0.0033333333333333335,0.0006666666666666666,0.0,0.0,0.0,0.0
Wisconsin Lutheran,1,4,1,1,1,wisconsin-lutheran,1.0,0.9986666666666667,0.9186666666666666,0.8333333333333334,0.438,0.35933333333333334,0.194
West Allis Central,1,4,2,6,2,west-allis-central,1.0,0.9726666666666667,0.904,0.798,0.48933333333333334,0.306,0.19
Racine Case,1,4,3,21,3,racine-case,1.0,0.85,0.5653333333333334,0.11466666666666667,0.03933333333333333,0.01,0.0033333333333333335
Milwaukee Hamilton,1,4,4,40,4,milwaukee-hamilton,1.0,0.7726666666666666,0.498,0.07533333333333334,0.008,0.0013333333333333333,0.0
Franklin,1,4,5,45,5,franklin,1.0,0.4686666666666667,0.19066666666666668,0.028666666666666667,0.004,0.002,0.0
Kenosha Bradford,1,4,6,34,6,kenosha-bradford,1.0,0.8706666666666667,0.3406666666666667,0.04133333333333333,0.008666666666666666,0.0006666666666666666,0.0
Racine Park,1,4,7,36,7,racine-park,1.0,0.626,0.05466666666666667,0.026,0.004666666666666667,0.0,0.0
Oak Creek,1,4,8,39,8,oak-creek,1.0,0.554,0.04533333333333334,0.017333333333333333,0.0006666666666666666,0.0,0.0
Marquette University,1,4,9,42,9,marquette-university,1.0,0.446,0.036,0.016,0.002,0.0,0.0
Muskego,1,4,10,43,10,muskego,1.0,0.374,0.025333333333333333,0.008666666666666666,0.0006666666666666666,0.0,0.0
Milwaukee Riverside,1,4,11,47,11,milwaukee-riverside,1.0,0.12933333333333333,0.032,0.002,0.0,0.0,0.0
Milwaukee South,1,4,12,38,12,milwaukee-south,1.0,0.5313333333333333,0.23933333333333334,0.025333333333333333,0.0026666666666666666,0.0,0.0
Milwaukee King,1,4,13,54,13,milwaukee-king,1.0,0.22733333333333333,0.072,0.004,0.0006666666666666666,0.0,0.0
Milwaukee Reagan,1,4,14,46,14,milwaukee-reagan,1.0,0.15,0.062,0.004666666666666667,0.0006666666666666666,0.0,0.0
Milwaukee Pulaski/Carmen South/Carmen Southeast,1,4,15,52,15,milwaukee-pulaski-carmen-south-carmen-southeast,1.0,0.027333333333333334,0.016,0.004666666666666667,0.0006666666666666666,0.0,0.0
Kenosha Tremper,1,4,16,70,16,kenosha-tremper,1.0,0.0013333333333333333,0.0,0.0,0.0,0.0,0.0
