Team,Division,Region,WIAASeed,BBMISeed,Seed,slug,RegionalSemis,RegionalChampion,SectionalSemiFinalist,SectionalFinalist,StateQualifier,StateFinalist,StateChampion
Saint Croix Central,3,1A,1,37,1,saint-croix-central,1.0,0.6183333333333333,0.31833333333333336,0.12166666666666667,0.04,0.008333333333333333,0.0016666666666666668
Prescott,3,1A,2,31,2,prescott,1.0,0.6366666666666667,0.37,0.24666666666666667,0.07,0.005,0.0
Osceola,3,1A,3,27,3,osceola,1.0,0.8333333333333334,0.41833333333333333,0.2916666666666667,0.105,0.02666666666666667,0.0016666666666666668
Saint Croix Falls,3,1A,4,41,4,saint-croix-falls,0.9516666666666667,0.7933333333333333,0.4116666666666667,0.14166666666666666,0.03166666666666667,0.0016666666666666668,0.0
Northwestern,3,1A,5,47,5,northwestern,0.8433333333333334,0.12833333333333333,0.07,0.02,0.006666666666666667,0.0016666666666666668,0.0
Ellsworth,3,1A,6,36,6,ellsworth,0.8016666666666666,0.31166666666666665,0.15166666666666667,0.09666666666666666,0.025,0.01,0.0
Amery,3,1A,7,64,7,amery,0.5083333333333333,0.07333333333333333,0.02,0.0016666666666666668,0.0,0.0,0.0
Ashland,3,1A,8,56,8,ashland,0.44,0.15666666666666668,0.06666666666666667,0.015,0.005,0.0,0.0
Altoona,3,1B,1,11,1,altoona,1.0,0.87,0.52,0.25666666666666665,0.18166666666666667,0.056666666666666664,0.013333333333333334
Gale-Ettrick-Trempealeau,3,1B,2,25,2,gale-ettrick-trempealeau,1.0,0.8366666666666667,0.42333333333333334,0.21666666666666667,0.14833333333333334,0.03166666666666667,0.005
Mosinee,3,1B,3,8,3,mosinee,1.0,0.9666666666666667,0.5483333333333333,0.3883333333333333,0.30833333333333335,0.12833333333333333,0.058333333333333334
Stanley-Boyd,3,1B,4,22,4,stanley-boyd,1.0,0.7133333333333334,0.34833333333333333,0.095,0.06166666666666667,0.015,0.008333333333333333
Adams-Friendship,3,1B,5,44,5,adams-friendship,0.8183333333333334,0.2633333333333333,0.08833333333333333,0.025,0.006666666666666667,0.0016666666666666668,0.0
Elk Mound,3,1B,6,65,6,elk-mound,0.6283333333333333,0.023333333333333334,0.006666666666666667,0.0033333333333333335,0.0,0.0,0.0
Amherst,3,1B,7,66,7,amherst,0.4716666666666667,0.08833333333333333,0.013333333333333334,0.008333333333333333,0.0033333333333333335,0.0,0.0
Arcadia,3,1B,8,67,8,arcadia,0.5933333333333334,0.09,0.03,0.0033333333333333335,0.0016666666666666668,0.0016666666666666668,0.0
Freedom,3,2A,1,2,1,freedom,1.0,0.945,0.825,0.30833333333333335,0.18666666666666668,0.145,0.08166666666666667
Seymour,3,2A,2,1,2,seymour,1.0,0.99,0.9666666666666667,0.6833333333333333,0.5066666666666667,0.43166666666666664,0.325
