Team,Division,Region,WIAASeed,BBMISeed,Seed,slug,RegionalSemis,RegionalChampion,SectionalSemiFinalist,SectionalFinalist,StateQualifier,StateFinalist,StateChampion
River Falls,2,1A,1,13,1,river-falls,1.0,1.0,0.682,0.404,0.212,0.066,0.022
Rhinelander,2,1A,2,16,2,rhinelander,1.0,1.0,0.716,0.378,0.146,0.05,0.02
Menomonie,2,1A,3,22,3,menomonie,1.0,1.0,0.284,0.14,0.044,0.002,0.002
New Richmond,2,1A,4,30,4,new-richmond,1.0,1.0,0.318,0.078,0.02,0.006,0.002
Medford,2,1A,5,56,5,medford,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Merrill,2,1A,6,60,6,merrill,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wausau East,2,1A,7,65,7,wausau-east,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice Lake,2,1A,9,70,8,rice-lake,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Onalaska,2,1B,1,8,1,onalaska,1.0,1.0,0.66,0.384,0.252,0.104,0.042
La Crosse Central,2,1B,2,11,2,la-crosse-central,1.0,1.0,0.812,0.438,0.248,0.09,0.032
Fox Valley Lutheran,2,1B,3,25,3,fox-valley-lutheran,1.0,1.0,0.188,0.088,0.04,0.01,0.006
West Salem,2,1B,4,20,4,west-salem,1.0,1.0,0.34,0.09,0.038,0.01,0.0
New London,2,1B,5,26,5,new-london,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomah,2,1B,6,43,6,tomah,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparta,2,1B,7,50,7,sparta,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Menasha,2,1B,8,62,8,menasha,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Notre Dame,2,2A,1,6,1,notre-dame,1.0,1.0,0.84,0.458,0.194,0.102,0.062
West De Pere,2,2A,2,7,2,west-de-pere,1.0,1.0,0.774,0.428,0.158,0.074,0.026
Plymouth,2,2A,3,28,3,plymouth,1.0,1.0,0.226,0.09,0.012,0.004,0.002
Sheboygan South,2,2A,4,38,4,sheboygan-south,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulaski,2,2A,5,45,5,pulaski,1.0,1.0,0.16,0.024,0.0,0.0,0.0
Luxemburg-Casco,2,2A,6,54,6,luxemburg-casco,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marinette,2,2A,7,77,7,marinette,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashwaubenon,2,2A,9,61,8,ashwaubenon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Port Washington,2,2B,1,10,1,port-washington,1.0,1.0,0.794,0.288,0.166,0.086,0.024
Slinger,2,2B,2,1,2,slinger,1.0,1.0,0.904,0.652,0.456,0.346,0.21
Nicolet,2,2B,3,21,3,nicolet,1.0,1.0,0.096,0.044,0.012,0.004,0.002
Milwaukee Vincent,2,2B,4,31,4,milwaukee-vincent,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedarburg,2,2B,5,44,5,cedarburg,1.0,1.0,0.206,0.016,0.002,0.0,0.0
West Bend West,2,2B,6,57,6,west-bend-west,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kewaskum,2,2B,7,69,7,kewaskum,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Milwaukee Marshall,2,2B,8,68,8,milwaukee-marshall,1.0,0.0,0.0,0.0,0.0,0.0,0.0
New Berlin West,2,3A,1,9,1,new-berlin-west,1.0,1.0,0.462,0.204,0.13,0.062,0.026
Beaver Dam,2,3A,2,18,2,beaver-dam,1.0,1.0,0.416,0.17,0.084,0.022,0.008
Wauwatosa West,2,3A,3,2,3,wauwatosa-west,1.0,1.0,0.584,0.38,0.264,0.18,0.092
Sauk Prairie,2,3A,4,39,4,sauk-prairie,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brookfield Central,2,3A,5,5,5,brookfield-central,1.0,1.0,0.538,0.246,0.126,0.09,0.046
Milwaukee Lutheran,2,3A,6,29,6,milwaukee-lutheran,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DeForest,2,3A,7,41,7,deforest,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraboo,2,3A,8,64,8,baraboo,1.0,0.0,0.0,0.0,0.0,0.0,0.0
McFarland,2,3B,1,14,1,mcfarland,1.0,1.0,0.546,0.36,0.176,0.056,0.012
Mount Horeb,2,3B,2,24,2,mount-horeb,1.0,1.0,0.58,0.228,0.07,0.02,0.006
Monroe,2,3B,3,35,3,monroe,1.0,1.0,0.42,0.2,0.062,0.006,0.0
Milton,2,3B,4,37,4,milton,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Waukesha West,2,3B,5,19,5,waukesha-west,1.0,1.0,0.454,0.212,0.088,0.028,0.01
Stoughton,2,3B,6,49,6,stoughton,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fort Atkinson,2,3B,7,42,7,fort-atkinson,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Edgewood,2,3B,8,63,8,edgewood,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Whitefish Bay,2,4A,1,3,1,whitefish-bay,1.0,1.0,0.846,0.646,0.434,0.308,0.21
Golda Meir,2,4A,2,12,2,golda-meir,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Milwaukee Academy of Science,2,4A,3,17,3,milwaukee-academy-of-science,1.0,1.0,0.758,0.276,0.12,0.046,0.01
Catholic Memorial,2,4A,4,40,4,catholic-memorial,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wauwatosa East,2,4A,5,33,5,wauwatosa-east,1.0,1.0,0.154,0.04,0.01,0.002,0.002
Milwaukee Bradley Tech,2,4A,6,36,6,milwaukee-bradley-tech,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Shorewood,2,4A,8,53,8,shorewood,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Waukesha South,2,4A,10,48,7,waukesha-south,1.0,1.0,0.242,0.038,0.004,0.0,0.0
Waterford,2,4B,1,4,1,waterford,1.0,1.0,0.788,0.604,0.334,0.21,0.118
Martin Luther,2,4B,2,55,2,martin-luther,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Milwaukee Bay View,2,4B,3,15,3,milwaukee-bay-view,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Greendale,2,4B,4,23,4,greendale,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Whitnall,2,4B,5,34,5,whitnall,1.0,1.0,0.212,0.11,0.034,0.004,0.0
Greenfield,2,4B,6,27,6,greenfield,1.0,1.0,0.482,0.132,0.03,0.004,0.004
Burlington,2,4B,7,32,7,burlington,1.0,1.0,0.518,0.154,0.034,0.008,0.004
Wilmot Union,2,4B,9,59,8,wilmot-union,1.0,0.0,0.0,0.0,0.0,0.0,0.0
