team,model_rank,kenpom_rank,net_ranking,last_ten,record,conference,pointMargin,turnoversForced,reboundsPerGame,pointsPerGame,fieldGoalPct,threePointPct,assistsPerGame,strengthOfSchedule,qualityWins,opponentFieldGoalPct,opponentThreePointPct
West Virginia,116,56,54,6-4,16-9,B12,7,12.2,35.7,76.2,0.444,0.339,13.8,76,64,0.414,0.353
Belmont,49,57,55,9-1,24-4,MVC,11,11.9,33.3,82.5,0.516,0.402,18,157,79,0.4,0.335
Boise State,72,58,60,6-4,15-10,MWC,4.799999999999997,10.3,34.2,81.6,0.453,0.348,14.2,56,60,0.46,0.363
Nevada,55,59,59,6-4,17-8,MWC,5.299999999999997,11.3,33.8,79.8,0.436,0.38,14.9,78,77,0.432,0.337
South Florida,77,60,56,1-9,18-8,Amer,9.200000000000003,12.1,34.5,79.8,0.444,0.334,15.5,95,69,0.422,0.351
Tulsa,46,61,53,7-3,20-6,Amer,12.200000000000003,9.6,33.1,82.7,0.484,0.384,14.5,125,89,0.426,0.326
McNeese State,37,62,57,8-2,22-5,Slnd,14.799999999999997,15.8,33.3,83,0.476,0.33,14.7,201,60,0.406,0.331
Oklahoma State,95,63,72,2-8,16-9,B12,3,11.6,32.7,78.1,0.468,0.347,14.2,59,75,0.444,0.343
Providence,148,64,79,3-7,11-15,BE,2.1000000000000085,8.9,34.6,83.2,0.476,0.352,14.1,30,203,0.444,0.369
Virginia Tech,64,65,58,5-5,17-9,ACC,4.5,12.2,33.1,79.8,0.45,0.353,14.1,65,58,0.446,0.308
California,50,66,61,5-5,18-8,ACC,6,10.8,31.4,78.6,0.45,0.377,13.9,81,55,0.432,0.306
Grand Canyon,79,67,77,6-4,16-9,MWC,6.599999999999994,12.1,35.2,76.3,0.449,0.3,12.8,99,59,0.414,0.321
Akron,24,68,62,9-1,20-5,MAC,14.299999999999997,12.8,34,86.1,0.504,0.372,18.3,237,56,0.426,0.346
Northwestern,107,69,76,2-8,10-16,B10,1,10.8,30,76.6,0.455,0.311,17.7,12,75,0.434,0.326
Arizona State,129,70,71,8-2,13-12,B12,-0.29999999999999716,12.2,28.2,74.2,0.449,0.341,13.2,16,104,0.461,0.351
Wake Forest,76,71,65,3-7,13-12,ACC,2.5999999999999943,13.7,29.7,77.8,0.451,0.34,14.2,38,71,0.444,0.329
Colorado,118,72,73,2-8,14-12,B12,1.5,10.6,32.4,79.7,0.469,0.35,15.4,49,96,0.46,0.376
Syracuse,159,73,70,3-7,15-12,ACC,2.8000000000000114,11.7,32.1,76.9,0.471,0.334,13.2,62,45,0.434,0.335
Stanford,108,74,69,3-7,16-10,ACC,3,12.9,31.7,76.1,0.43,0.345,12.1,69,35,0.459,0.334
Yale,26,75,64,8-2,20-4,Ivy,12.799999999999997,11.4,35.6,89.5,0.5,0.419,17.5,190,42,0.437,0.345
George Washington,75,76,85,4-6,15-11,A10,10,11.8,35.3,81.9,0.47,0.357,15.6,141,123,0.441,0.322
Georgetown,106,77,90,4-6,13-12,BE,2,10.8,34.2,75.9,0.437,0.333,14.7,61,104,0.428,0.337
Creighton,142,78,81,3-7,13-13,BE,0.9000000000000057,10,33.2,77.7,0.457,0.347,16.1,31,120,0.455,0.356
Florida State,144,79,82,9-1,12-13,ACC,1.8999999999999915,13.3,32.3,76.3,0.425,0.317,13.9,42,74,0.447,0.341
Notre Dame,166,80,87,2-8,12-14,ACC,1.3999999999999915,9.6,35.5,77.6,0.451,0.363,12.8,52,136,0.435,0.327
Ole Miss,110,81,92,3-7,11-14,SEC,0.20000000000000284,10.9,32.4,73.8,0.436,0.338,13.4,23,68,0.43,0.336
Stephen F. Austin,54,82,74,10-0,24-3,Slnd,12.5,11.6,35.9,79.3,0.452,0.367,14.3,255,47,0.411,0.289
Butler,137,83,80,3-7,13-13,BE,2.9000000000000057,10.5,34.3,78.9,0.45,0.336,15.6,55,117,0.454,0.333
Minnesota,88,84,86,1-9,11-14,B10,2.0999999999999943,11.6,32.6,76.8,0.454,0.333,18.8,51,34,0.439,0.341
Miami (OH),18,85,51,10-0,25-0,MAC,17.400000000000006,12.8,32.8,88.7,0.536,0.401,16.3,312,36,0.429,0.315
Mississippi State,202,86,94,3-7,12-13,SEC,-1,8.5,35.3,73.3,0.447,0.313,11.9,22,114,0.43,0.304
Northern Iowa,90,87,83,1-9,17-10,MVC,8.700000000000003,11.9,32.6,75,0.465,0.338,16,127,84,0.405,0.276
Utah Valley,58,88,88,6-4,18-7,WAC,12.799999999999997,14.1,33.3,77.8,0.51,0.343,18.4,160,108,0.414,0.331
Liberty,56,89,75,10-0,22-3,CUSA,11.799999999999997,11.6,29.5,84.2,0.521,0.402,18.7,195,63,0.437,0.358
High Point,38,90,78,9-1,24-4,BSth,20.5,15.9,32.3,88.6,0.501,0.36,16.2,357,80,0.437,0.33
Wichita State,115,91,84,7-3,16-10,Amer,7.5,11.4,38.9,79.6,0.443,0.345,12.3,133,91,0.425,0.307
Dayton,119,92,91,5-5,16-9,A10,4.400000000000006,14.9,31,76.2,0.447,0.328,14.2,115,96,0.44,0.36
Colorado State,70,93,96,2-8,15-10,MWC,6,10.3,33.2,82.7,0.49,0.395,16.9,102,104,0.45,0.346
Xavier,168,94,97,4-6,13-12,BE,-0.7000000000000028,10.8,31.8,75.1,0.438,0.366,17.3,53,170,0.47,0.341
George Mason,80,95,89,6-4,21-5,A10,7.799999999999997,10.8,33.9,78.8,0.478,0.34,13.7,189,71,0.42,0.322
South Carolina,150,96,112,1-9,11-14,SEC,0.5,9.8,29.6,75.4,0.441,0.306,13.5,72,99,0.451,0.32
Oregon,193,97,107,1-9,9-16,B10,-2.799999999999997,10.6,34.3,75.2,0.427,0.329,14.7,17,104,0.449,0.346
Wyoming,109,98,101,2-8,13-12,MWC,4.299999999999997,11.2,33.6,78.5,0.451,0.331,14.1,93,93,0.456,0.324
Memphis,128,99,105,5-5,12-13,Amer,0.9000000000000057,12.9,32.4,70.9,0.435,0.319,13,80,143,0.414,0.297
Illinois State,98,100,93,8-2,17-10,MVC,8.400000000000006,10.9,35.3,77.9,0.469,0.35,14,155,91,0.427,0.322
Kansas State,127,101,100,8-2,10-15,B12,-0.5,11.3,29.8,75.5,0.457,0.364,16.7,24,100,0.454,0.341
Hofstra,82,102,102,4-6,17-10,CAA,8.200000000000003,10,36.5,78.7,0.441,0.371,13.8,145,98,0.396,0.326
Marquette,228,103,111,3-7,9-17,BE,-1.7000000000000028,12.2,31,74.6,0.436,0.323,15.4,43,165,0.45,0.346
Hawaii,100,104,98,7-3,18-6,BW,11.300000000000004,11.3,35.6,75.2,0.462,0.325,13.5,257,156,0.406,0.278
Pacific,67,105,103,6-4,17-11,WCC,6.400000000000006,10.8,37,77.4,0.476,0.369,16.1,129,147,0.416,0.331
UNC Wilmington,68,106,95,8-2,22-4,CAA,10.400000000000006,10.1,38.4,80,0.451,0.355,13.8,279,67,0.406,0.296
Sam Houston State,71,107,106,8-2,17-8,CUSA,8.599999999999994,11.2,36.4,79.6,0.468,0.365,14.9,138,121,0.414,0.306
Davidson,133,108,104,5-5,15-10,A10,5.700000000000003,12.4,32.3,79.2,0.467,0.379,14.9,104,127,0.448,0.326
Pittsburgh,245,109,124,2-8,9-17,ACC,-1.9000000000000057,11.2,34.1,74.3,0.434,0.331,13.9,35,193,0.46,0.354
Duquesne,86,110,117,6-4,15-10,A10,6.1000000000000085,12.5,33,80.7,0.474,0.356,16,126,81,0.441,0.339
Murray State,114,111,99,4-6,19-9,MVC,4.699999999999989,10.5,33.7,80.6,0.468,0.348,13.2,140,65,0.466,0.359
DePaul,189,112,109,4-6,13-12,BE,1.5,12.2,31.9,73.3,0.444,0.332,15.8,82,191,0.432,0.36
Illinois-Chicago,111,113,116,8-2,15-12,MVC,5.5,13.9,34.9,77.1,0.448,0.313,14.8,118,171,0.424,0.322
UC Irvine,105,114,120,6-4,17-9,BW,9.299999999999997,12.7,36.6,74.7,0.463,0.333,15.6,180,87,0.378,0.333
St. Thomas,85,115,108,7-3,21-7,Sum,10.799999999999997,11.5,29,80.1,0.512,0.368,16.3,305,110,0.437,0.312
Florida Atlantic,161,116,115,4-6,14-12,Amer,5.299999999999997,10.8,34.6,76.3,0.464,0.332,12.9,103,145,0.433,0.348
UC San Diego,143,117,125,5-5,18-9,BW,6,11.3,34.5,75.6,0.458,0.337,14.5,184,133,0.414,0.329
Rhode Island,187,118,137,5-5,14-11,A10,3.8999999999999915,14.5,32.4,76.1,0.45,0.312,12,161,110,0.44,0.359
Utah,213,119,129,1-9,9-16,B12,-3.1000000000000085,9.7,31.6,76.1,0.453,0.353,13.7,36,209,0.471,0.34
California Baptist,121,120,110,9-1,19-7,WAC,4.299999999999997,11,38.1,73.1,0.426,0.323,10.4,217,82,0.418,0.302
Southern Illinois,224,121,126,7-3,12-15,MVC,2.8999999999999915,12.5,34.6,72.6,0.459,0.276,13.2,107,268,0.424,0.306
Fresno State,145,122,136,5-5,12-13,MWC,1.9000000000000057,12.3,30.7,70.9,0.443,0.319,12.7,101,147,0.437,0.289
San Francisco,174,123,118,4-6,15-13,WCC,2.4000000000000057,9.3,35.9,77.4,0.438,0.347,14.4,98,203,0.438,0.342
North Dakota State,73,124,123,7-3,21-6,Sum,10.599999999999994,14,33.5,82.6,0.471,0.364,15.5,277,89,0.449,0.351
William & Mary,93,125,114,5-5,16-10,CAA,6.400000000000006,12.5,31.5,78.4,0.482,0.34,17.3,171,168,0.43,0.319
