team,model_rank,kenpom_rank,net_ranking,last_ten,record,conference,pointMargin,turnoversForced,reboundsPerGame,pointsPerGame,fieldGoalPct,threePointPct,assistsPerGame,strengthOfSchedule,qualityWins,opponentFieldGoalPct,opponentThreePointPct
Youngstown State,139,203,205,5-5,13-14,Horz,6.5,12.3,32.7,79.7,0.466,0.35,14.8,265,147,0.449,0.346
Queens University,175,204,204,6-4,15-12,ASun,0.7000000000000028,10.1,30.4,82,0.481,0.356,15.5,291,168,0.471,0.366
Long Island,192,205,192,8-2,18-9,NEC,1.9000000000000057,12.5,33.9,73.9,0.47,0.354,13.9,330,147,0.443,0.312
Samford,208,206,211,6-4,15-12,SC,3.5,9,33.4,78.9,0.446,0.345,14.9,261,171,0.44,0.35
Monmouth,181,207,195,6-4,14-12,CAA,1.3999999999999915,13.6,34,74.3,0.433,0.349,14.3,235,209,0.433,0.347
Lamar,197,208,213,3-7,12-15,Slnd,2.5999999999999943,11.5,36.5,74.6,0.437,0.349,15.4,202,219,0.431,0.358
Drake,246,209,200,3-7,12-16,MVC,1.2000000000000028,10.3,33.2,77.9,0.447,0.35,13.8,132,264,0.443,0.365
Indiana State,283,210,220,5-5,10-17,MVC,0.29999999999999716,10.5,31.5,75,0.468,0.316,17.8,164,316,0.447,0.322
Jacksonville State,210,211,217,5-5,13-12,CUSA,6,10.9,35.5,75.1,0.439,0.35,12.5,240,227,0.397,0.301
Tarleton State,253,212,209,2-8,13-13,WAC,2.6000000000000085,17.3,28.3,72.2,0.454,0.315,10.8,135,262,0.449,0.339
Missouri State,251,213,207,5-5,13-12,CUSA,2.200000000000003,11.9,33,77,0.444,0.319,14.4,218,236,0.449,0.335
South Dakota State,220,214,203,1-9,12-15,Sum,3.200000000000003,10.3,34.2,75.2,0.464,0.341,14.1,227,250,0.427,0.335
Weber State,191,215,202,4-6,13-14,BSky,4.299999999999997,11.5,33,77.2,0.466,0.353,13.1,222,236,0.465,0.316
Stony Brook,186,216,210,7-3,16-11,CAA,2.0999999999999943,11.7,36,76,0.425,0.353,14.4,234,146,0.42,0.342
San Diego,240,217,226,4-6,11-17,WCC,-3,13.3,28.7,74.3,0.445,0.347,15.8,109,295,0.471,0.319
Green Bay,184,218,224,5-5,15-13,Horz,-0.3999999999999915,9.6,30.6,79.7,0.484,0.362,14.6,208,214,0.456,0.369
Howard,117,219,219,8-2,17-10,MEAC,7.699999999999989,14.8,33.7,75.6,0.452,0.333,15.7,365,156,0.42,0.312
Ohio,259,220,214,4-6,13-13,MAC,-0.09999999999999432,11.6,29.5,76,0.467,0.305,13.3,167,171,0.457,0.364
UNC Asheville,243,221,229,6-4,12-14,BSth,2.0999999999999943,10.8,32.2,75.6,0.459,0.358,11.5,243,265,0.442,0.323
James Madison,244,222,218,5-5,14-13,SB,-0.7000000000000028,8.9,35.2,76.7,0.445,0.353,13.6,251,246,0.43,0.335
Vermont,162,223,215,7-3,17-10,AE,5.599999999999994,9.8,35.4,80.1,0.47,0.348,14.2,358,195,0.434,0.354
Cal Poly,281,224,238,5-5,11-16,BW,-3.3999999999999915,10.8,30.1,72.2,0.434,0.339,11.8,131,290,0.46,0.356
Denver,204,225,233,5-5,13-15,Sum,0.5,8.8,32.7,83.1,0.483,0.381,11.5,175,207,0.483,0.369
Wofford,195,226,230,6-4,17-10,SC,2.200000000000003,10.2,32.7,80.2,0.454,0.35,14.2,310,181,0.463,0.364
Colgate,140,227,212,6-4,16-12,PL,2.3999999999999915,10.9,32.3,78.6,0.48,0.363,14.9,307,154,0.437,0.337
Drexel,255,228,221,6-4,13-14,CAA,0.7000000000000028,10.9,34.2,72.2,0.44,0.349,14.5,274,274,0.418,0.307
Southeast Missouri State,221,229,225,7-3,16-11,OVC,4.400000000000006,12.7,34.8,75.9,0.46,0.307,13.1,332,185,0.439,0.337
Eastern Michigan,254,230,227,1-9,9-17,MAC,-2.3999999999999915,11,33.7,72.4,0.447,0.33,13,165,255,0.439,0.333
Abilene Christian,287,231,232,2-8,12-14,WAC,-0.6000000000000085,16.5,30.5,72.3,0.434,0.322,13.8,148,250,0.48,0.373
Rice,274,232,248,4-6,11-15,Amer,-0.20000000000000284,11.1,35.6,76.2,0.422,0.352,12.6,174,290,0.441,0.337
Coastal Carolina,203,233,223,8-2,16-11,SB,1.5,9,38.7,74.2,0.416,0.35,10.7,269,181,0.395,0.316
SIU-Edwardsville,167,234,241,7-3,17-10,OVC,7.599999999999994,12.1,35.5,74.8,0.447,0.353,13.8,360,195,0.39,0.303
Southern Mississippi,270,235,234,3-7,14-14,SB,0.10000000000000853,11.4,33.2,71.7,0.444,0.292,11.1,244,250,0.435,0.352
UMBC,132,236,244,8-2,16-8,AE,6.400000000000006,10.1,33.2,77.4,0.467,0.348,13.1,366,112,0.434,0.316
Radford,225,237,239,5-5,14-13,BSth,2.799999999999997,12.5,31,77.6,0.453,0.341,12.7,301,161,0.453,0.355
Louisiana Tech,232,238,247,6-4,14-11,CUSA,5,12.6,38.8,73.4,0.436,0.292,12.6,232,177,0.392,0.32
La Salle,302,239,242,3-7,7-18,A10,-7.1000000000000085,11.3,33.3,68.8,0.413,0.291,14.1,83,278,0.457,0.365
Saint Peter's,178,240,228,7-3,15-9,MAAC,3.8000000000000114,13.8,34.6,75.9,0.411,0.316,13.5,342,156,0.425,0.336
Bethune-Cookman,215,241,260,8-2,13-13,SWAC,-2.5999999999999943,11.2,32.7,72.9,0.457,0.334,13.3,293,137,0.441,0.323
Long Beach State,290,242,261,3-7,8-18,BW,-2.8999999999999915,12.4,28.4,72.7,0.457,0.321,13.4,124,307,0.472,0.356
Old Dominion,279,243,253,5-5,10-18,SB,-1.7000000000000028,9.9,32.2,74,0.439,0.34,13,209,323,0.436,0.318
Texas State,165,244,236,8-2,17-11,SB,3.6000000000000085,13.1,33.3,75.2,0.471,0.33,13.5,327,222,0.44,0.344
Florida Gulf Coast,233,245,255,9-1,12-15,ASun,0.7000000000000028,11,32.8,77.5,0.456,0.345,14.9,284,298,0.445,0.355
Omaha,207,246,249,6-4,14-14,Sum,0.7000000000000028,9.9,31.4,77.8,0.473,0.364,13.7,224,249,0.448,0.324
Detroit-Mercy,227,247,250,6-4,12-13,Horz,-1.2000000000000028,9.7,35,75.7,0.439,0.342,12.8,219,269,0.444,0.325
Charleston Southern,256,248,245,6-4,12-15,BSth,3.299999999999997,8.5,35.7,77.2,0.453,0.355,15.7,296,267,0.417,0.31
American University,214,249,262,5-5,14-13,PL,3,13.1,30.8,76.6,0.452,0.334,14.1,324,227,0.456,0.341
Princeton,239,250,254,4-6,8-17,Ivy,-3.6000000000000085,9.7,33.7,73.6,0.42,0.336,13.5,178,227,0.453,0.32
Idaho State,263,251,231,1-9,10-17,BSky,-1.8000000000000114,10.6,32.1,78.1,0.454,0.334,12.6,142,273,0.475,0.355
Lindenwood,194,252,240,6-4,16-11,OVC,5.699999999999989,13.2,33.8,73.6,0.464,0.308,14.2,337,156,0.425,0.3
San Jose State,314,253,267,1-9,6-19,MWC,-7.6000000000000085,11.8,29,74.1,0.425,0.358,11.2,75,308,0.492,0.355
Dartmouth,205,254,251,4-6,10-13,Ivy,1.2000000000000028,9.3,33.5,76.5,0.449,0.373,14,226,200,0.442,0.319
Hampton,257,255,256,4-6,12-14,CAA,1.2999999999999972,12.4,35,73,0.419,0.299,12.7,262,259,0.438,0.309
Nicholls State,312,256,258,3-7,11-16,Slnd,-2.799999999999997,14.3,27.7,73.8,0.439,0.342,13.3,153,269,0.483,0.353
Iona,241,257,237,4-6,15-12,MAAC,0,11.5,32.2,73.8,0.438,0.353,14,333,250,0.436,0.31
Sacramento State,252,258,259,5-5,9-16,BSky,-3.200000000000003,10.9,30.6,72.5,0.421,0.339,12,112,243,0.459,0.337
Fort Wayne,242,259,252,6-4,15-12,Horz,1.7000000000000028,13.3,26.7,77.4,0.469,0.355,13.8,197,222,0.464,0.361
Tennessee State,179,260,235,7-3,17-9,OVC,4.5,13.4,33.4,77,0.457,0.313,12.9,343,185,0.455,0.333
East Carolina,319,261,270,4-6,9-16,Amer,-6.1000000000000085,11.1,32.8,70.1,0.415,0.28,11.6,187,295,0.444,0.35
Boston University,235,262,265,2-8,13-15,PL,1.9000000000000057,9.1,33.3,83,0.49,0.399,16.3,347,269,0.463,0.373
Western Carolina,267,263,263,5-5,10-15,SC,-0.8999999999999915,10.3,35.1,77.4,0.443,0.332,13.1,198,258,0.457,0.365
Georgia Southern,265,264,257,4-6,15-12,SB,1.2000000000000028,12.1,29.2,75.3,0.433,0.324,10.5,324,209,0.449,0.333
Fairfield,229,265,243,6-4,16-11,MAAC,2.799999999999997,10.9,35.9,77,0.433,0.337,12.4,352,214,0.45,0.347
UTEP,280,266,264,5-5,10-16,CUSA,-2.1999999999999886,13.3,31.9,72.9,0.429,0.339,12.9,154,259,0.448,0.347
Southern Utah,298,267,280,7-3,9-17,WAC,-3.299999999999997,9.9,31.8,72.7,0.457,0.339,13.5,108,300,0.458,0.37
Milwaukee,304,268,246,3-7,11-17,Horz,-3,10.6,33.5,76,0.443,0.319,13,205,298,0.476,0.361
Delaware,266,269,269,4-6,9-16,CUSA,-5.400000000000006,9.4,31.5,72.6,0.447,0.358,13.5,230,304,0.426,0.339
Southern,236,270,281,7-3,12-14,SWAC,1.7999999999999972,13.8,32,76.5,0.452,0.332,13.8,250,222,0.449,0.356
UC Riverside,333,271,289,2-8,8-19,BW,-5.900000000000006,10.6,31.6,71,0.436,0.322,12.5,114,341,0.477,0.35
Central Michigan,272,272,288,6-4,8-17,MAC,-3.200000000000003,11.3,30.6,74,0.468,0.328,15.4,203,290,0.459,0.343
Pepperdine,310,273,283,2-8,7-20,WCC,-8.5,11.5,31,71.1,0.424,0.303,13.5,94,288,0.466,0.358
Brown,230,274,284,2-8,8-15,Ivy,2.0999999999999943,13.7,35.4,75.1,0.437,0.32,16.4,253,256,0.428,0.317
Bellarmine,234,275,285,5-5,11-15,ASun,-1.7999999999999972,10.6,26.8,83.4,0.516,0.383,16,249,309,0.481,0.385
Northeastern,322,276,274,1-9,6-18,CAA,-6.199999999999989,11.7,28.8,74.9,0.462,0.34,15.2,166,312,0.5,0.363
Incarnate Word,278,277,291,2-8,10-17,Slnd,0.29999999999999716,10.3,32.9,77.6,0.445,0.377,12.1,181,279,0.472,0.342
East Texas A&M,300,278,290,7-3,11-17,Slnd,-3.799999999999997,12.1,31.1,69.9,0.431,0.322,16,159,279,0.444,0.362
Western Michigan,273,279,286,5-5,9-16,MAC,-4.300000000000011,10.1,33.4,74.1,0.444,0.35,13,207,290,0.458,0.353
Eastern Kentucky,285,280,278,1-9,9-18,ASun,-0.7000000000000028,11.4,33.2,79.1,0.434,0.343,14.1,227,294,0.475,0.354
Northwestern State,311,281,302,2-8,8-19,Slnd,-4.599999999999994,11.7,29.2,72.9,0.443,0.333,13,151,321,0.466,0.36
Grambling State,275,282,277,3-7,11-14,SWAC,0.10000000000000853,13.9,31.1,70.7,0.437,0.315,11.9,319,284,0.436,0.325
South Dakota,247,283,276,6-4,14-13,Sum,0,11.5,31.5,78.7,0.456,0.338,12.2,293,207,0.5,0.335
Southeastern Louisiana,339,284,293,7-3,8-19,Slnd,-5.400000000000006,12.8,32.1,68.1,0.409,0.284,12.3,172,321,0.442,0.344
Longwood,200,285,273,5-5,14-14,BSth,3.3999999999999915,14.2,33.8,75.6,0.463,0.314,12.8,346,203,0.443,0.319
Presbyterian,284,286,271,5-5,13-14,BSth,0.20000000000000284,10.3,34.4,74.9,0.473,0.318,13.8,281,236,0.443,0.356
Central Connecticut State,141,287,272,6-4,15-10,NEC,4.599999999999994,9.8,33.2,78.5,0.477,0.378,14.6,356,200,0.424,0.33
North Carolina A&T,292,288,266,7-3,10-14,CAA,-1.4000000000000057,10.2,39.1,76,0.449,0.314,12.1,263,284,0.447,0.36
North Dakota,294,289,275,7-3,15-14,Sum,-0.29999999999999716,14.4,30.6,76.5,0.438,0.329,11,259,240,0.483,0.357
Morehead State,223,290,268,7-3,15-12,OVC,0.19999999999998863,11,34.8,77.6,0.465,0.34,14.2,303,250,0.437,0.348
Le Moyne,260,291,279,7-3,14-13,NEC,0.20000000000000284,10.5,32.1,73.8,0.464,0.346,14.4,359,246,0.42,0.364
Mercyhurst,222,292,282,6-4,13-14,NEC,2.200000000000003,13.5,31.4,73,0.453,0.324,14.8,361,240,0.434,0.326
Georgia State,321,293,287,4-6,9-18,SB,-3.799999999999997,11.4,31.5,70.2,0.38,0.324,12,215,347,0.436,0.346
Houston Christian,297,294,294,8-2,10-17,Slnd,-5.200000000000003,11.7,30.9,72.3,0.442,0.321,15.3,221,279,0.479,0.355
Sacred Heart,248,295,297,7-3,12-16,MAAC,-1.0999999999999943,10.1,31.4,77,0.438,0.365,15.1,326,288,0.462,0.354
Mount St. Mary's,296,296,299,6-4,12-15,MAAC,-4.099999999999994,10.4,35,69.5,0.437,0.329,13.9,306,304,0.405,0.334
Evansville,332,297,292,2-8,6-20,MVC,-7.799999999999997,11.1,29.9,69.2,0.429,0.327,13.5,96,333,0.456,0.351
UNC Greensboro,276,298,296,6-4,12-15,SC,-1.7000000000000028,9.1,33.4,79,0.454,0.36,13.1,287,266,0.457,0.362
USC Upstate,295,299,295,3-7,11-16,BSth,0.7999999999999972,11.5,32.8,74,0.443,0.341,12.6,256,284,0.432,0.336
Lehigh,262,300,298,6-4,12-15,PL,-1.5,12,30.6,75.8,0.459,0.351,14.5,333,283,0.447,0.337
Alabama State,313,301,309,7-3,9-17,SWAC,-3.200000000000003,13,32.2,71,0.419,0.328,12,283,335,0.449,0.345
Chattanooga,226,302,300,3-7,10-17,SC,0.7999999999999972,9.6,31,76.1,0.446,0.349,15.4,288,276,0.422,0.317
N.J.I.T.,288,303,301,8-2,15-12,AE,-4.5,10.7,32.7,69.2,0.411,0.312,11.3,337,227,0.426,0.32
Alabama A&M,238,304,306,7-3,15-11,SWAC,-0.3999999999999915,10.7,33.2,72.4,0.43,0.333,11.4,363,214,0.432,0.332
Arkansas-Pine Bluff,249,305,304,7-3,11-15,SWAC,-4.900000000000006,11.3,29.3,73.3,0.447,0.349,14.8,196,262,0.459,0.335
Cleveland State,291,306,305,5-5,10-17,Horz,-4.299999999999997,10.2,28.2,75.9,0.455,0.38,14.9,210,341,0.466,0.341
Little Rock,317,307,310,3-7,10-17,OVC,-4.299999999999997,13.3,31.8,71.5,0.447,0.355,14.1,292,329,0.459,0.365
Louisiana,336,308,314,5-5,9-18,SB,-7.200000000000003,11.3,30.4,68.5,0.406,0.336,11.7,278,337,0.453,0.369
Texas Southern,282,309,318,8-2,9-15,SWAC,-4.599999999999994,11.7,30.8,72.2,0.451,0.336,10.5,285,227,0.451,0.338
Norfolk State,261,310,307,7-3,13-14,MEAC,2.8999999999999915,12.5,31.6,75.1,0.464,0.339,11.8,351,259,0.438,0.315
Jacksonville,309,311,308,4-6,10-17,ASun,-1.2000000000000028,11.1,33,75.3,0.45,0.32,12.4,232,311,0.466,0.35
IU Indy,335,312,313,3-7,7-21,Horz,-3.700000000000003,13.7,27.5,76.5,0.456,0.321,18.5,236,356,0.504,0.383
Northern Arizona,316,313,303,1-9,10-17,BSky,-3.5,12,28.4,73.2,0.47,0.371,13.7,212,316,0.474,0.374
Loyola (MD),301,314,321,6-4,11-16,PL,-0.7000000000000028,10.9,32.8,75.6,0.437,0.338,13.6,355,335,0.466,0.32
Loyola (IL),350,315,312,2-8,6-20,A10,-11.199999999999989,8.3,33.6,70.4,0.418,0.308,14.5,121,345,0.448,0.386
Northern Illinois,323,316,320,1-9,8-16,MAC,-5.5,12.2,34.3,70.9,0.415,0.315,12.7,186,256,0.476,0.322
Cal State Bakersfield,334,317,317,7-3,8-18,BW,-7.700000000000003,12.3,32,69.2,0.419,0.296,10.4,135,329,0.456,0.341
UMass Lowell,303,318,323,5-5,11-15,AE,-1.9000000000000057,9.8,33.9,74.5,0.466,0.33,12.1,322,295,0.461,0.337
Tennessee Tech,293,319,315,7-3,11-16,OVC,-1.1000000000000085,10.6,32.1,72.3,0.452,0.325,12.4,341,303,0.443,0.355
West Georgia,286,320,311,3-7,12-14,ASun,-4,10.2,33.1,74.4,0.439,0.347,12.7,314,236,0.471,0.353
Eastern Illinois,271,321,316,1-9,11-16,OVC,-3.200000000000003,13.6,33.9,70.7,0.427,0.325,13,293,284,0.432,0.3
Prairie View A&M,315,322,328,3-7,10-16,SWAC,0.5,14.2,27.5,73.6,0.444,0.324,10.6,309,323,0.455,0.349
Stetson,331,323,325,3-7,9-18,ASun,-7.700000000000003,10.2,30.7,73,0.445,0.347,14.7,225,329,0.481,0.341
Ball State,337,324,324,4-6,8-17,MAC,-3.8999999999999915,13.2,29.3,69.4,0.413,0.306,12.7,245,328,0.454,0.342
Albany,318,325,331,5-5,9-17,AE,-1.4000000000000057,11,31.3,74,0.464,0.326,14.4,300,329,0.45,0.351
Lafayette,340,326,326,4-6,8-19,PL,-5.900000000000006,10.9,32.4,70.8,0.417,0.317,13.8,317,337,0.456,0.35
Manhattan,306,327,322,4-6,12-16,MAAC,-4.099999999999994,10.9,29.9,74.4,0.431,0.337,13,339,323,0.467,0.362
Wagner,299,328,319,3-7,9-16,NEC,-1.8999999999999915,10.8,35.5,74.4,0.441,0.351,13.3,331,319,0.441,0.348
Fairleigh Dickinson,325,329,329,5-5,10-17,NEC,-2,11.4,35.2,72.3,0.411,0.305,12.7,340,327,0.447,0.351
Holy Cross,329,330,327,2-8,9-18,PL,-5.700000000000003,10.1,30.5,71.1,0.433,0.317,11.1,298,323,0.473,0.325
Bucknell,324,331,334,3-7,8-19,PL,-10.200000000000003,12.3,30.2,69.8,0.413,0.307,13.5,272,300,0.468,0.379
Florida A&M,320,332,332,5-5,10-14,SWAC,-6.900000000000006,13.1,29.5,68.5,0.433,0.333,12.5,328,275,0.459,0.352
New Haven,307,333,330,5-5,11-15,NEC,-2.5,12.5,31.1,69.7,0.439,0.309,13.5,318,269,0.447,0.347
Jackson State,342,334,341,5-5,9-17,SWAC,-14.899999999999991,10.7,29.5,67.7,0.396,0.321,10.7,238,319,0.468,0.34
Oral Roberts,343,335,336,1-9,6-21,Sum,-6.900000000000006,10.5,30.8,69.5,0.415,0.311,11.2,147,315,0.461,0.366
New Hampshire,328,336,335,4-6,8-16,AE,-4.299999999999997,11,33.5,71.2,0.415,0.314,11.3,296,304,0.449,0.331
North Florida,330,337,337,7-3,6-21,ASun,-8.5,9.2,27.5,76.5,0.453,0.365,13.9,203,349,0.495,0.351
Texas-San Antonio,359,338,343,1-9,5-20,Amer,-11,10.7,32.7,68.2,0.399,0.292,10.8,119,354,0.449,0.345
Niagara,326,339,342,3-7,7-19,MAAC,-8.400000000000006,11.1,28.9,69.6,0.438,0.337,15.1,335,344,0.456,0.35
Army West Point,308,340,333,3-7,10-17,PL,-5.299999999999997,10.8,34.7,74.8,0.412,0.336,15.4,320,300,0.466,0.352
North Alabama,344,341,338,7-3,8-17,ASun,-8.299999999999997,9.8,31.1,73,0.438,0.311,10.8,264,316,0.467,0.367
Southern Indiana,356,342,349,7-3,5-21,OVC,-5.200000000000003,10.9,32.8,66.3,0.384,0.311,9.8,336,362,0.438,0.322
Maryland-Eastern Shore,327,343,347,3-7,8-19,MEAC,-8,12.1,32.9,68.4,0.445,0.303,14.3,289,337,0.439,0.328
Stonehill,338,344,340,4-6,9-18,NEC,-3.700000000000003,8.9,36,67.8,0.412,0.321,12.9,350,346,0.423,0.34
Alcorn State,353,345,351,4-6,6-19,SWAC,-15.5,12.3,26.3,67.1,0.428,0.352,11.7,211,348,0.509,0.357
North Carolina Central,268,346,339,7-3,10-14,MEAC,-3.3000000000000114,14.4,29.7,72.1,0.439,0.325,14.5,312,227,0.455,0.348
Air Force,361,347,346,0-10,3-22,MWC,-17.799999999999997,10.5,27.3,62.2,0.427,0.315,12.5,90,312,0.489,0.373
Canisius,341,348,348,0-10,8-19,MAAC,-8.5,10.8,31.9,66.1,0.4,0.334,12.7,323,340,0.453,0.333
Maine,348,349,344,4-6,6-21,AE,-7.200000000000003,13.1,27.3,66,0.442,0.314,12.9,329,355,0.45,0.302
Chicago State,345,350,345,4-6,6-21,NEC,-11.799999999999997,13.4,29.3,68.4,0.402,0.32,11.4,246,349,0.478,0.352
The Citadel,349,351,350,5-5,9-18,SC,-7.599999999999994,10,32.5,73.9,0.418,0.324,13.3,290,349,0.478,0.359
Morgan State,305,352,354,7-3,10-14,MEAC,-3.5,11.6,30.2,72.7,0.429,0.327,12.7,353,309,0.471,0.328
Louisiana-Monroe,355,353,356,6-4,4-23,SB,-10.799999999999997,11,28.3,70,0.415,0.327,11.6,258,363,0.481,0.346
UMKC,360,354,355,0-10,4-22,Sum,-12.400000000000006,10.8,29.2,66,0.42,0.302,11.2,170,360,0.482,0.349
Bryant,346,355,352,3-7,8-18,AE,-8.200000000000003,9.9,31.6,67.7,0.403,0.298,13,315,333,0.448,0.358
St. Francis (PA),347,356,353,2-8,6-20,NEC,-9.799999999999997,12.5,29,70,0.424,0.34,13.5,299,341,0.489,0.369
Rider,358,357,357,2-8,3-22,MAAC,-13.699999999999989,9.8,34,66.9,0.398,0.278,11,239,349,0.466,0.369
South Carolina State,354,358,359,1-9,6-18,MEAC,-14.700000000000003,12.5,28.5,64.3,0.403,0.334,11.5,282,312,0.472,0.334
Virginia Military,351,359,358,0-10,6-21,SC,-7.200000000000003,11.4,30.9,72.3,0.401,0.33,12.6,286,357,0.46,0.351
Delaware State,357,360,361,4-6,6-19,MEAC,-10.700000000000003,14,29.5,63.3,0.394,0.303,11.2,344,349,0.478,0.352
Western Illinois,362,361,360,5-5,5-22,OVC,-11.5,10.5,31.5,67.9,0.401,0.303,8.4,320,357,0.471,0.362
Binghamton,352,362,362,1-9,5-22,AE,-8.799999999999997,9.1,30.6,71,0.442,0.31,12.1,362,364,0.466,0.356
Gardner-Webb,365,363,363,1-9,3-24,BSth,-18.599999999999994,10.3,27.6,66.9,0.428,0.316,10.2,150,361,0.503,0.371
Coppin State,363,364,364,4-6,6-21,MEAC,-16.099999999999994,11.6,29.3,64.7,0.407,0.31,11.9,308,357,0.469,0.382
Mississippi Valley State,364,365,365,3-7,1-25,SWAC,-20.999999999999993,11.8,27,63.1,0.407,0.304,11.9,273,365,0.479,0.375
