date,away,home,vegasHomeLine,bbmiHomeLine,bbmiWinProb,actualAwayScore,actualHomeScore,fakeBet,fakeWin,vegaswinprob
2026-02-14,Penn State,Oregon,-6.5,-8.5,0.8143460483572426,72,83,100,195,0.7352941176470588
2026-02-14,Saint Mary's,Pacific,8.5,3.5,0.3296697029829937,72,61,100,0,0.23809523809523808
2026-02-14,Loyola Marymount,Pepperdine,5.5,5.5,0.2547457676403424,89,90,,,0.3225806451612903
2026-02-14,Southern,Prairie View A&M,3.5,0.5,0.4743524061284743,87,82,100,0,0.4166666666666667
2026-02-14,St. John's,Providence,7.5,2.5,0.3974196429322897,79,69,100,0,0.25641025641025644
2026-02-14,Lipscomb,Queens University,-2.5,1.5,0.45402271669150207,81,87,100,0,0.5747126436781609
2026-02-14,Charleston Southern,Radford,-3.5,-3.5,0.5839789889874566,80,90,,,0.6289308176100629
2026-02-14,Fordham,Rhode Island,-5.5,-0.5,0.5260204228471266,70,66,100,195,0.6993006993006994
2026-02-14,East Carolina,Rice,-5.5,-9.5,0.8560166261616836,85,75,100,0,0.6802721088435374
2026-02-14,VCU,Richmond,7.5,3.5,0.33355740893867414,78,67,100,0,0.2631578947368421
2026-02-14,Tennessee-Martin,SIU-Edwardsville,1.5,-1.5,0.5518172511336363,81,76,100,0,0.5
2026-02-14,Nevada,San Diego State,-8.5,-6.5,0.7532328745563224,57,71,100,0,0.8
2026-02-14,Grand Canyon,San Jose State,11.5,9.5,0.13581134898608105,94,79,100,0,0.16666666666666666
2026-02-14,Gonzaga,Santa Clara,4.5,2.5,0.37431571924926976,94,86,100,0,0.37037037037037035
2026-02-14,Tennessee Tech,Southern Indiana,-1.5,3.5,0.3439004237159221,82,74,100,191,0.5555555555555556
2026-02-14,Troy,Southern Mississippi,4.5,5.5,0.2889318352199196,65,69,100,0,0.37735849056603776
2026-02-14,Duquesne,St. Bonaventure,-2.5,0.5,0.4717430932551694,78,73,100,200,0.5747126436781609
2026-02-14,Mercyhurst,St. Francis (PA),2.5,3.5,0.32918612980054895,94,79,100,200,0.425531914893617
2026-02-14,Wagner,Stonehill,-2.5,0.5,0.4878401884617374,68,57,100,187,0.5988023952095809
2026-02-14,Southern Methodist,Syracuse,2.5,2.5,0.38127620784598615,78,79,,,0.4444444444444444
2026-02-14,LSU,Tennessee,-14.5,-11.5,0.8967394649236127,63,73,100,191,0.9433962264150942
2026-02-14,Lamar,Texas A&M-CC,0,0,0.6915276555380752,63,76,,,0.6060606060606061
2026-02-14,Grambling State,Texas Southern,1.5,-4.5,0.7102866141115537,79,82,100,183,0.5
2026-02-14,Louisiana-Monroe,Texas State,-13.5,-16.5,0.9643238521063667,84,95,100,0,0.9433962264150942
2026-02-14,Mercer,The Citadel,9.5,10.5,0.116319721830906,70,54,100,191,0.20833333333333334
2026-02-14,Long Beach State,UC Davis,-5.5,-9.5,0.8486340444019227,54,71,100,191,0.6944444444444444
2026-02-14,Cal State Fullerton,UC Irvine,-7.5,-8.5,0.8225541986637861,65,86,100,187,0.7751937984496123
2026-02-14,UC Riverside,UC San Diego,-10.5,-13.5,0.9390415797260171,66,72,100,0,0.8928571428571428
2026-02-14,West Virginia,UCF,-3.5,-5.5,0.7159625183950783,74,67,100,0,0.6289308176100629
2026-02-14,Georgetown,UConn,-16.5,-11.5,0.9060006972142939,75,79,100,191,0.9615384615384615
2026-02-14,St. Thomas,UMKC,13.5,16.5,0.03365437527882398,104,64,100,191,0.1
2026-02-14,Presbyterian,UNC Asheville,-4.5,-4.5,0.6798163039805638,58,57,,,0.6535947712418301
2026-02-14,Wofford,UNC Greensboro,2.5,0.5,0.47091779509873377,89,99,100,187,0.45454545454545453
2026-02-14,Hofstra,UNC Wilmington,-2.5,-1.5,0.5633844040678144,66,70,100,0,0.591715976331361
2026-02-14,Stephen F. Austin,Texas-RGV,-1.5,1.5,0.43960807380080236,66,57,100,200,0.5235602094240838
2026-02-14,Southern Utah,Texas-Arlington,-8.5,-11.5,0.9037126192173526,78,73,100,0,0.8
2026-02-14,Liberty,UTEP,7.5,9.5,0.15808237347001808,73,64,100,191,0.27027027027027023
2026-02-14,Memphis,Utah State,-13.5,-10.5,0.8731607917660538,75,99,100,0,0.9433962264150942
2026-02-14,California Baptist,Utah Tech,2.5,-1.5,0.5474266498921408,65,70,100,195,0.425531914893617
2026-02-14,Furman,Virginia Military,13.5,7.5,0.18785153370956187,90,72,100,0,0.125
2026-02-14,Texas A&M,Vanderbilt,-6.5,-9.5,0.8493799686682764,69,82,100,187,0.7518796992481203
2026-02-14,Bryant,Vermont,-12.5,-13.5,0.9398244493802735,63,90,100,195,0.9259259259259258
2026-02-14,Florida State,Virginia Tech,-5.5,-6.5,0.7641650604946513,92,69,100,0,0.7299270072992701
2026-02-14,Stanford,Wake Forest,-4.5,-2.5,0.5995939746547211,63,68,100,0,0.6535947712418301
2026-02-14,Minnesota,Washington,-6.5,-3.5,0.6516221712644068,57,69,100,0,0.7462686567164178
2026-02-14,Middle Tennessee State,Western Kentucky,-3.5,-1.5,0.5772190985433134,80,82,100,191,0.6369426751592356
2026-02-14,Tulsa,Wichita State,-1.5,0.5,0.47219632220603913,77,81,100,0,0.5464480874316939
2026-02-14,Elon,William & Mary,-7.5,-7.5,0.8065277268282949,81,78,,,0.78125
2026-02-14,Marquette,Xavier,-2.5,-3.5,0.6636878356447764,88,96,100,195,0.5847953216374269
2026-02-15,Seton Hall,Butler,2.5,0.5,0.4679087522485884,63,56,100,0,0.4444444444444444
2026-02-15,Charleston,Campbell,-2.5,-3.5,0.6559126374014115,62,57,100,0,0.5847953216374269
2026-02-15,Manhattan,Canisius,1.5,-0.5,0.5231188776671047,69,65,100,0,0.48780487804878053
2026-02-15,Texas-San Antonio,Charlotte,-14.5,-13.5,0.9286859460653278,88,79,100,187,0.9433962264150942
2026-02-15,Utah,Cincinnati,-11.5,-8.5,0.8405304855060997,65,69,100,187,0.9009009009009008
2026-02-15,Wright State,Cleveland State,7.5,6.5,0.2291687097914501,102,90,100,0,0.27027027027027023
2026-02-15,Davidson,Dayton,-4.5,-4.5,0.6935034209551746,59,70,,,0.6666666666666666
2026-02-15,Youngstown State,Detroit-Mercy,3.5,-0.5,0.5346200842505169,70,76,100,187,0.4347826086956522
2026-02-15,South Florida,Florida Atlantic,4.5,0.5,0.4839706351979821,83,81,100,191,0.37037037037037035
2026-02-15,IU Indy,Fort Wayne,-6.5,-6.5,0.9069634860084558,78,83,,,0.7518796992481203
2026-02-15,Indiana,Illinois,-10.5,-9.5,0.8473384510143298,51,71,100,0,0.8849557522123894
2026-02-15,Holy Cross,Loyola (MD),-3.5,-5.5,0.7344378240524763,73,83,100,191,0.6369426751592356
2026-02-15,Siena,Marist,-1.5,-4.5,0.6823292758850722,67,63,100,0,0.5464480874316939
2026-02-15,Green Bay,Milwaukee,-1.5,1.5,0.4334539808859592,72,75,100,0,0.5555555555555556
2026-02-15,Towson,Monmouth,-2.5,-1.5,0.5669705803866513,71,72,100,191,0.591715976331361
2026-02-15,Belmont,Murray State,-1.5,2.5,0.38786463439530505,87,70,100,195,0.5555555555555556
2026-02-15,Iona,Niagara,5.5,4.5,0.30946988279641807,68,70,100,191,0.3225806451612903
2026-02-15,Eastern Kentucky,North Alabama,4.5,4.5,0.29464728021902775,78,84,,,0.37735849056603776
2026-02-15,Drake,Northern Iowa,-9.5,-10.5,0.8884724378065273,62,86,100,191,0.8695652173913044
2026-02-15,Denver,Omaha,-2.5,-0.5,0.5416662790351257,76,83,100,0,0.591715976331361
2026-02-15,Merrimack College,Quinnipiac,-1.5,-0.5,0.5052304267120323,56,49,100,195,0.5464480874316939
2026-02-15,Oakland,Robert Morris,-1.5,-2.5,0.6226124259973312,69,93,100,191,0.5555555555555556
